,Country,Year,Fossil fuels,Gas,Coal,Oil,Solar,Wind,Low-cacbon,Renewables,Hydropower
1317,Kuwait,2016,"109,473 kWh","52,247 kWh",639 kWh,"56,587 kWh",32 kWh,0 kWh,"109,473 kWh",,
1318,Latvia,2016,"17,535 kWh","6,687 kWh",241 kWh,"10,607 kWh",1 kWh,176 kWh,"17,535 kWh","5,014 kWh","3,431 kWh"
1319,Lithuania,2016,"19,994 kWh","7,301 kWh",733 kWh,"11,961 kWh",61 kWh,"1,037 kWh","19,994 kWh","2,213 kWh",414 kWh
1320,Luxembourg,2016,"68,829 kWh","14,137 kWh","1,015 kWh","53,677 kWh",460 kWh,466 kWh,"68,829 kWh","3,955 kWh",530 kWh
1321,Malaysia,2016,"35,253 kWh","14,272 kWh","6,910 kWh","14,071 kWh",26 kWh,0 kWh,"35,253 kWh","1,947 kWh","1,700 kWh"
1322,Mexico,2016,"17,220 kWh","6,833 kWh","1,190 kWh","9,197 kWh",6 kWh,229 kWh,"17,220 kWh","1,096 kWh",676 kWh
1323,Morocco,2016,"6,006 kWh",341 kWh,"1,419 kWh","4,246 kWh",31 kWh,229 kWh,"6,006 kWh",355 kWh,96 kWh
1324,Netherlands,2016,"57,717 kWh","20,525 kWh","6,965 kWh","30,228 kWh",250 kWh,"1,277 kWh","57,717 kWh","2,632 kWh",16 kWh
1325,New Zealand,2016,"33,327 kWh","10,277 kWh","2,955 kWh","20,095 kWh",32 kWh,"1,342 kWh","33,327 kWh","21,285 kWh","14,873 kWh"
1326,North Macedonia,2016,"11,865 kWh",970 kWh,"4,828 kWh","6,067 kWh",30 kWh,139 kWh,"11,865 kWh","2,631 kWh","2,407 kWh"
1327,Norway,2016,"31,300 kWh","8,361 kWh","1,738 kWh","21,201 kWh",12 kWh,"1,082 kWh","31,300 kWh","74,895 kWh","73,005 kWh"
1328,Oman,2016,"76,790 kWh","51,972 kWh",146 kWh,"24,672 kWh",3 kWh,0 kWh,"76,790 kWh",,
1329,Pakistan,2016,"3,641 kWh","1,810 kWh",291 kWh,"1,540 kWh",6 kWh,12 kWh,"3,641 kWh",459 kWh,434 kWh
