,Country,Year,Fossil fuels,Gas,Coal,Oil,Solar,Wind,Low-cacbon,Renewables,Hydropower
447,Norway,2005,"36,705 kWh","9,451 kWh","1,817 kWh","25,437 kWh",4 kWh,309 kWh,"36,705 kWh","84,573 kWh","84,030 kWh"
448,Oman,2005,"61,629 kWh","42,853 kWh",1 kWh,"18,775 kWh",0 kWh,0 kWh,"61,629 kWh",,
449,Pakistan,2005,"3,163 kWh","1,870 kWh",250 kWh,"1,043 kWh",0 kWh,0 kWh,"3,163 kWh",504 kWh,504 kWh
450,Peru,2005,"3,946 kWh",519 kWh,381 kWh,"3,046 kWh",,0 kWh,"3,946 kWh","1,871 kWh","1,829 kWh"
451,Philippines,2005,"3,119 kWh",365 kWh,717 kWh,"2,037 kWh",0 kWh,1 kWh,"3,119 kWh",595 kWh,278 kWh
452,Poland,2005,"27,278 kWh","3,689 kWh","16,617 kWh","6,972 kWh",0 kWh,10 kWh,"27,278 kWh",313 kWh,163 kWh
453,Portugal,2005,"25,929 kWh","4,075 kWh","3,687 kWh","18,168 kWh",1 kWh,482 kWh,"25,929 kWh","2,290 kWh","1,287 kWh"
454,Qatar,2005,"262,586 kWh","210,818 kWh",0 kWh,"51,768 kWh",0 kWh,0 kWh,"262,586 kWh",,
455,Romania,2005,"18,260 kWh","7,677 kWh","4,740 kWh","5,843 kWh",0 kWh,0 kWh,"18,260 kWh","2,744 kWh","2,743 kWh"
456,Russia,2005,"45,881 kWh","27,844 kWh","7,649 kWh","10,388 kWh",0 kWh,0 kWh,"45,881 kWh","3,446 kWh","3,437 kWh"
457,Saudi Arabia,2005,"74,233 kWh","27,740 kWh",13 kWh,"46,480 kWh",0 kWh,0 kWh,"74,233 kWh",,
458,Singapore,2005,"123,201 kWh","14,238 kWh",22 kWh,"108,940 kWh",0 kWh,0 kWh,"123,201 kWh",,
459,Slovakia,2005,"30,513 kWh","12,769 kWh","9,132 kWh","8,613 kWh",0 kWh,3 kWh,"30,513 kWh","2,513 kWh","2,470 kWh"
460,Slovenia,2005,"29,309 kWh","5,379 kWh","8,804 kWh","15,125 kWh",0 kWh,0 kWh,"29,309 kWh","5,118 kWh","4,943 kWh"
461,South Africa,2005,"25,767 kWh",705 kWh,"18,978 kWh","6,084 kWh",1 kWh,1 kWh,"25,767 kWh",108 kWh,78 kWh
462,South Korea,2005,"46,195 kWh","6,635 kWh","13,307 kWh","26,253 kWh",1 kWh,8 kWh,"46,195 kWh",249 kWh,220 kWh
463,Spain,2005,"34,337 kWh","7,944 kWh","5,461 kWh","20,932 kWh",3 kWh,"1,388 kWh","34,337 kWh","2,823 kWh","1,171 kWh"
464,Sri Lanka,2005,,,35 kWh,"2,601 kWh",1 kWh,0 kWh,,505 kWh,504 kWh
465,Sweden,2005,"27,026 kWh",970 kWh,"3,537 kWh","22,520 kWh",1 kWh,297 kWh,"27,026 kWh","26,030 kWh","22,904 kWh"
466,Switzerland,2005,"24,547 kWh","4,357 kWh",226 kWh,"19,964 kWh",8 kWh,3 kWh,"24,547 kWh","12,486 kWh","12,038 kWh"
467,Taiwan,2005,"47,489 kWh","4,527 kWh","18,422 kWh","24,541 kWh",0 kWh,11 kWh,"47,489 kWh",782 kWh,511 kWh
468,Thailand,2005,"15,168 kWh","4,871 kWh","2,047 kWh","8,250 kWh",0 kWh,0 kWh,"15,168 kWh",353 kWh,247 kWh
469,Trinidad and Tobago,2005,"134,297 kWh","119,608 kWh",0 kWh,"14,688 kWh",6 kWh,0 kWh,"134,297 kWh",,
470,Turkey,2005,"12,851 kWh","3,744 kWh","3,751 kWh","5,357 kWh",0 kWh,2 kWh,"12,851 kWh","1,657 kWh","1,649 kWh"
471,Turkmenistan,2005,,"23,837 kWh",,"12,307 kWh",0 kWh,0 kWh,,2 kWh,2 kWh
472,USSR,2005,,,,,,,,,
473,Ukraine,2005,"28,268 kWh","15,393 kWh","9,246 kWh","3,629 kWh",0 kWh,2 kWh,"28,268 kWh",757 kWh,755 kWh
474,United Arab Emirates,2005,"164,587 kWh","95,769 kWh",395 kWh,"68,423 kWh",0 kWh,0 kWh,"164,587 kWh",,
475,United Kingdom,2005,"40,357 kWh","16,459 kWh","7,294 kWh","16,603 kWh",0 kWh,138 kWh,"40,357 kWh",867 kWh,233 kWh
476,United States,2005,"79,210 kWh","20,051 kWh","21,382 kWh","37,778 kWh",7 kWh,174 kWh,"79,210 kWh","3,825 kWh","2,570 kWh"
477,Uzbekistan,2005,"20,430 kWh","17,657 kWh",370 kWh,"2,403 kWh",0 kWh,0 kWh,"20,430 kWh",741 kWh,741 kWh
478,Venezuela,2005,"25,460 kWh","11,412 kWh",16 kWh,"14,032 kWh",0 kWh,0 kWh,"25,460 kWh","8,277 kWh","8,277 kWh"
479,Vietnam,2005,"3,876 kWh",747 kWh,"1,308 kWh","1,821 kWh",0 kWh,0 kWh,"3,876 kWh",571 kWh,569 kWh
480,Algeria,2006,"11,323 kWh","6,834 kWh",307 kWh,"4,183 kWh",0 kWh,0 kWh,"11,323 kWh",19 kWh,19 kWh
481,Argentina,2006,"17,675 kWh","10,297 kWh",251 kWh,"7,126 kWh",0 kWh,5 kWh,"17,675 kWh","2,830 kWh","2,740 kWh"
482,Australia,2006,"68,821 kWh","12,676 kWh","32,027 kWh","24,119 kWh",14 kWh,301 kWh,"68,821 kWh","3,042 kWh","2,078 kWh"
483,Austria,2006,"36,372 kWh","10,829 kWh","5,645 kWh","19,898 kWh",8 kWh,603 kWh,"36,372 kWh","14,550 kWh","12,271 kWh"
484,Azerbaijan,2006,"17,907 kWh","11,386 kWh",4 kWh,"6,517 kWh",0 kWh,0 kWh,"17,907 kWh",818 kWh,818 kWh
485,Bangladesh,2006,"1,424 kWh","1,007 kWh",89 kWh,328 kWh,0 kWh,0 kWh,"1,424 kWh",15 kWh,15 kWh
486,Belarus,2006,"30,587 kWh","19,641 kWh",724 kWh,"10,223 kWh",0 kWh,0 kWh,"30,587 kWh",11 kWh,10 kWh
487,Belgium,2006,"58,746 kWh","16,431 kWh","5,582 kWh","36,733 kWh",1 kWh,98 kWh,"58,746 kWh",867 kWh,97 kWh
488,Brazil,2006,"7,877 kWh","1,121 kWh",789 kWh,"5,967 kWh",0 kWh,4 kWh,"7,877 kWh","5,944 kWh","5,256 kWh"
489,Bulgaria,2006,"22,590 kWh","4,334 kWh","10,527 kWh","7,729 kWh",0 kWh,7 kWh,"22,590 kWh","1,560 kWh","1,553 kWh"
490,Canada,2006,"75,759 kWh","26,766 kWh","10,372 kWh","38,621 kWh",2 kWh,216 kWh,"75,759 kWh","32,022 kWh","30,865 kWh"
491,Chile,2006,"17,436 kWh","5,160 kWh","2,451 kWh","9,825 kWh",0 kWh,1 kWh,"17,436 kWh","5,196 kWh","4,915 kWh"
492,China,2006,"16,460 kWh",440 kWh,"12,884 kWh","3,135 kWh",0 kWh,8 kWh,"16,460 kWh",979 kWh,944 kWh
493,Colombia,2006,"6,114 kWh","1,582 kWh","1,036 kWh","3,496 kWh",0 kWh,4 kWh,"6,114 kWh","2,910 kWh","2,831 kWh"
494,Croatia,2006,"20,154 kWh","6,153 kWh","1,671 kWh","12,331 kWh",0 kWh,12 kWh,"20,154 kWh","4,282 kWh","4,262 kWh"
495,Cyprus,2006,"32,600 kWh",0 kWh,333 kWh,"32,268 kWh",3 kWh,1 kWh,"32,600 kWh",,
496,Czechia,2006,"43,455 kWh","8,570 kWh","23,482 kWh","11,403 kWh",0 kWh,14 kWh,"43,455 kWh","1,023 kWh",704 kWh
497,Denmark,2006,"41,090 kWh","9,708 kWh","11,861 kWh","19,522 kWh",1 kWh,"3,184 kWh","41,090 kWh","5,001 kWh",12 kWh
498,Ecuador,2006,"7,633 kWh",431 kWh,4 kWh,"7,198 kWh",0 kWh,0 kWh,"7,633 kWh","1,481 kWh","1,448 kWh"
499,Egypt,2006,"8,664 kWh","4,357 kWh",123 kWh,"4,184 kWh",0 kWh,21 kWh,"8,664 kWh",473 kWh,451 kWh
500,Estonia,2006,"46,997 kWh","6,979 kWh","27,020 kWh","12,999 kWh",0 kWh,161 kWh,"46,997 kWh",289 kWh,29 kWh
501,Finland,2006,"48,096 kWh","8,408 kWh","16,360 kWh","23,328 kWh",2 kWh,84 kWh,"48,096 kWh","12,852 kWh","6,210 kWh"
502,France,2006,"28,090 kWh","7,564 kWh","2,369 kWh","18,157 kWh",1 kWh,102 kWh,"28,090 kWh","3,064 kWh","2,630 kWh"
503,Germany,2006,"41,398 kWh","11,334 kWh","12,113 kWh","17,951 kWh",79 kWh,"1,098 kWh","41,398 kWh","3,016 kWh",702 kWh
504,Greece,2006,"35,016 kWh","2,764 kWh","8,798 kWh","23,455 kWh",0 kWh,435 kWh,"35,016 kWh","2,018 kWh","1,503 kWh"
505,Hong Kong,2006,"41,053 kWh","3,959 kWh","11,455 kWh","25,639 kWh",0 kWh,0 kWh,"41,053 kWh",,
506,Hungary,2006,"25,901 kWh","13,249 kWh","3,553 kWh","9,100 kWh",0 kWh,12 kWh,"25,901 kWh",479 kWh,53 kWh
507,Iceland,2006,,,"3,928 kWh","33,736 kWh",0 kWh,0 kWh,,"91,846 kWh","68,205 kWh"
508,India,2006,"3,777 kWh",306 kWh,"2,175 kWh","1,296 kWh",0 kWh,23 kWh,"3,777 kWh",319 kWh,273 kWh
509,Indonesia,2006,"6,011 kWh","1,601 kWh","1,427 kWh","2,983 kWh",0 kWh,0 kWh,"6,011 kWh",201 kWh,118 kWh
510,Iran,2006,"29,004 kWh","14,842 kWh",245 kWh,"13,917 kWh",0 kWh,5 kWh,"29,004 kWh",744 kWh,739 kWh
511,Iraq,2006,,477 kWh,,"9,400 kWh",0 kWh,0 kWh,,491 kWh,491 kWh
512,Ireland,2006,"44,203 kWh","10,840 kWh","6,558 kWh","26,805 kWh",0 kWh,"1,090 kWh","44,203 kWh","1,677 kWh",487 kWh
513,Israel,2006,"36,004 kWh","3,209 kWh","13,362 kWh","19,433 kWh",0 kWh,4 kWh,"36,004 kWh",25 kWh,6 kWh
514,Italy,2006,"34,959 kWh","13,873 kWh","3,319 kWh","17,768 kWh",2 kWh,145 kWh,"34,959 kWh","2,523 kWh","1,802 kWh"
515,Japan,2006,"39,765 kWh","6,923 kWh","10,259 kWh","22,583 kWh",44 kWh,47 kWh,"39,765 kWh","2,594 kWh","1,976 kWh"
516,Kazakhstan,2006,"33,121 kWh","4,204 kWh","20,828 kWh","8,088 kWh",0 kWh,0 kWh,"33,121 kWh","1,397 kWh","1,397 kWh"
517,Kuwait,2006,"135,876 kWh","49,883 kWh",11 kWh,"85,981 kWh",0 kWh,0 kWh,"135,876 kWh",,
518,Latvia,2006,"16,590 kWh","7,545 kWh",458 kWh,"8,588 kWh",0 kWh,59 kWh,"16,590 kWh","3,621 kWh","3,483 kWh"
519,Lithuania,2006,"19,418 kWh","8,591 kWh",878 kWh,"9,948 kWh",0 kWh,12 kWh,"19,418 kWh",443 kWh,340 kWh
520,Luxembourg,2006,"107,765 kWh","30,291 kWh","2,280 kWh","75,195 kWh",127 kWh,349 kWh,"107,765 kWh","1,520 kWh",670 kWh
521,Malaysia,2006,"31,075 kWh","14,660 kWh","3,200 kWh","13,215 kWh",0 kWh,0 kWh,"31,075 kWh",757 kWh,679 kWh
522,Mexico,2006,"17,878 kWh","5,453 kWh","1,340 kWh","11,085 kWh",0 kWh,1 kWh,"17,878 kWh","1,016 kWh",811 kWh
523,Morocco,2006,"5,233 kWh",181 kWh,"1,456 kWh","3,596 kWh",0 kWh,17 kWh,"5,233 kWh",108 kWh,91 kWh
524,Netherlands,2006,"64,615 kWh","24,384 kWh","5,496 kWh","34,735 kWh",6 kWh,477 kWh,"64,615 kWh","1,545 kWh",18 kWh
525,New Zealand,2006,"35,877 kWh","9,128 kWh","6,225 kWh","20,524 kWh",0 kWh,424 kWh,"35,877 kWh","19,210 kWh","16,047 kWh"
526,North Macedonia,2006,"13,698 kWh",374 kWh,"7,922 kWh","5,401 kWh",0 kWh,0 kWh,"13,698 kWh","2,256 kWh","2,256 kWh"
527,Norway,2006,"36,646 kWh","9,293 kWh","1,546 kWh","25,807 kWh",4 kWh,388 kWh,"36,646 kWh","73,533 kWh","72,870 kWh"
528,Oman,2006,"66,496 kWh","47,003 kWh",14 kWh,"19,479 kWh",0 kWh,0 kWh,"66,496 kWh",,
529,Pakistan,2006,"3,304 kWh","1,871 kWh",259 kWh,"1,173 kWh",0 kWh,0 kWh,"3,304 kWh",483 kWh,483 kWh
530,Peru,2006,"3,799 kWh",602 kWh,321 kWh,"2,876 kWh",,0 kWh,"3,799 kWh","2,036 kWh","1,964 kWh"
531,Philippines,2006,"2,823 kWh",335 kWh,667 kWh,"1,821 kWh",0 kWh,2 kWh,"2,823 kWh",649 kWh,322 kWh
532,Poland,2006,"28,615 kWh","3,733 kWh","17,319 kWh","7,563 kWh",0 kWh,19 kWh,"28,615 kWh",362 kWh,151 kWh
533,Portugal,2006,"23,604 kWh","3,906 kWh","3,643 kWh","16,055 kWh",1 kWh,789 kWh,"23,604 kWh","4,354 kWh","2,947 kWh"
534,Qatar,2006,,"174,954 kWh",,"55,842 kWh",0 kWh,0 kWh,,,
535,Romania,2006,"19,130 kWh","7,897 kWh","5,416 kWh","5,816 kWh",0 kWh,0 kWh,"19,130 kWh","2,499 kWh","2,498 kWh"
536,Russia,2006,"48,245 kWh","29,422 kWh","7,872 kWh","10,950 kWh",0 kWh,0 kWh,"48,245 kWh","3,450 kWh","3,440 kWh"
537,Saudi Arabia,2006,"74,860 kWh","27,494 kWh",9 kWh,"47,357 kWh",0 kWh,0 kWh,"74,860 kWh",,
538,Singapore,2006,"131,385 kWh","18,165 kWh",13 kWh,"113,207 kWh",0 kWh,0 kWh,"131,385 kWh",,
539,Slovakia,2006,"29,146 kWh","11,631 kWh","9,521 kWh","7,993 kWh",0 kWh,3 kWh,"29,146 kWh","2,654 kWh","2,328 kWh"
540,Slovenia,2006,"29,907 kWh","5,194 kWh","8,939 kWh","15,775 kWh",0 kWh,0 kWh,"29,907 kWh","5,257 kWh","5,074 kWh"
541,South Africa,2006,"26,044 kWh",757 kWh,"19,145 kWh","6,143 kWh",1 kWh,1 kWh,"26,044 kWh",196 kWh,167 kWh
542,South Korea,2006,"46,877 kWh","6,972 kWh","13,712 kWh","26,193 kWh",2 kWh,14 kWh,"46,877 kWh",250 kWh,205 kWh
543,Spain,2006,"33,585 kWh","8,175 kWh","4,688 kWh","20,721 kWh",8 kWh,"1,492 kWh","33,585 kWh","3,401 kWh","1,658 kWh"
544,Sri Lanka,2006,,,26 kWh,"2,646 kWh",1 kWh,0 kWh,,666 kWh,665 kWh
545,Sweden,2006,"27,466 kWh","1,009 kWh","3,883 kWh","22,575 kWh",1 kWh,309 kWh,"27,466 kWh","22,713 kWh","19,256 kWh"
546,Switzerland,2006,"24,786 kWh","4,210 kWh",242 kWh,"20,334 kWh",9 kWh,6 kWh,"24,786 kWh","12,285 kWh","11,786 kWh"
547,Taiwan,2006,"48,743 kWh","4,839 kWh","19,270 kWh","24,633 kWh",0 kWh,34 kWh,"48,743 kWh",802 kWh,509 kWh
548,Thailand,2006,"15,265 kWh","4,978 kWh","2,169 kWh","8,119 kWh",2 kWh,0 kWh,"15,265 kWh",468 kWh,341 kWh
549,Trinidad and Tobago,2006,"155,961 kWh","139,994 kWh",0 kWh,"15,968 kWh",6 kWh,0 kWh,"155,961 kWh",,
550,Turkey,2006,"14,065 kWh","4,195 kWh","4,373 kWh","5,497 kWh",0 kWh,5 kWh,"14,065 kWh","1,824 kWh","1,809 kWh"
551,Turkmenistan,2006,,"24,208 kWh",,"11,814 kWh",0 kWh,0 kWh,,2 kWh,2 kWh
552,USSR,2006,,,,,,,,,
553,Ukraine,2006,"28,788 kWh","15,031 kWh","10,010 kWh","3,747 kWh",0 kWh,2 kWh,"28,788 kWh",789 kWh,787 kWh
554,United Arab Emirates,2006,"151,317 kWh","86,296 kWh",669 kWh,"64,352 kWh",0 kWh,0 kWh,"151,317 kWh",,
555,United Kingdom,2006,"39,735 kWh","15,502 kWh","7,911 kWh","16,322 kWh",1 kWh,198 kWh,"39,735 kWh",935 kWh,215 kWh
556,United States,2006,"77,352 kWh","19,569 kWh","20,849 kWh","36,933 kWh",8 kWh,255 kWh,"77,352 kWh","4,167 kWh","2,711 kWh"
557,Uzbekistan,2006,"18,948 kWh","16,082 kWh",397 kWh,"2,469 kWh",0 kWh,0 kWh,"18,948 kWh",618 kWh,618 kWh
558,Venezuela,2006,"26,480 kWh","12,894 kWh",106 kWh,"13,480 kWh",0 kWh,0 kWh,"26,480 kWh","8,547 kWh","8,547 kWh"
559,Vietnam,2006,"3,367 kWh",805 kWh,793 kWh,"1,769 kWh",0 kWh,0 kWh,"3,367 kWh",671 kWh,668 kWh
560,Algeria,2007,"11,741 kWh","6,880 kWh",259 kWh,"4,602 kWh",0 kWh,0 kWh,"11,741 kWh",19 kWh,19 kWh
561,Argentina,2007,"18,911 kWh","10,711 kWh",360 kWh,"7,839 kWh",0 kWh,4 kWh,"18,911 kWh","2,304 kWh","2,214 kWh"
562,Australia,2007,"69,429 kWh","13,931 kWh","31,194 kWh","24,304 kWh",15 kWh,387 kWh,"69,429 kWh","2,875 kWh","1,771 kWh"
563,Austria,2007,"34,288 kWh","10,212 kWh","5,431 kWh","18,645 kWh",8 kWh,694 kWh,"34,288 kWh","15,381 kWh","12,632 kWh"
564,Azerbaijan,2007,"16,263 kWh","9,895 kWh",7 kWh,"6,361 kWh",0 kWh,0 kWh,"16,263 kWh",753 kWh,753 kWh
565,Bangladesh,2007,"1,443 kWh","1,064 kWh",72 kWh,307 kWh,0 kWh,0 kWh,"1,443 kWh",15 kWh,15 kWh
566,Belarus,2007,"29,985 kWh","19,816 kWh",822 kWh,"9,346 kWh",0 kWh,0 kWh,"29,985 kWh",15 kWh,10 kWh
567,Belgium,2007,"58,365 kWh","16,444 kWh","5,067 kWh","36,854 kWh",2 kWh,130 kWh,"58,365 kWh","1,014 kWh",103 kWh
568,Brazil,2007,"8,173 kWh","1,143 kWh",828 kWh,"6,202 kWh",0 kWh,10 kWh,"8,173 kWh","6,422 kWh","5,543 kWh"
569,Bulgaria,2007,"23,937 kWh","4,394 kWh","11,915 kWh","7,629 kWh",0 kWh,17 kWh,"23,937 kWh","1,070 kWh","1,053 kWh"
570,Canada,2007,"78,493 kWh","28,500 kWh","10,735 kWh","39,258 kWh",2 kWh,259 kWh,"78,493 kWh","33,001 kWh","31,632 kWh"
571,Chile,2007,"18,036 kWh","3,012 kWh","2,881 kWh","12,143 kWh",0 kWh,2 kWh,"18,036 kWh","4,352 kWh","3,829 kWh"
572,China,2007,"17,743 kWh",538 kWh,"13,942 kWh","3,264 kWh",0 kWh,12 kWh,"17,743 kWh","1,084 kWh","1,038 kWh"
573,Colombia,2007,"6,090 kWh","1,654 kWh",901 kWh,"3,535 kWh",0 kWh,3 kWh,"6,090 kWh","2,968 kWh","2,889 kWh"
574,Croatia,2007,"21,567 kWh","7,089 kWh","1,819 kWh","12,659 kWh",0 kWh,22 kWh,"21,567 kWh","3,051 kWh","3,016 kWh"
575,Cyprus,2007,"32,561 kWh",0 kWh,297 kWh,"32,264 kWh",5 kWh,1 kWh,"32,561 kWh",,
576,Czechia,2007,"42,794 kWh","8,143 kWh","23,362 kWh","11,288 kWh",0 kWh,34 kWh,"42,794 kWh",996 kWh,571 kWh
577,Denmark,2007,"38,011 kWh","8,666 kWh","9,898 kWh","19,447 kWh",1 kWh,"3,700 kWh","38,011 kWh","5,537 kWh",15 kWh
578,Ecuador,2007,"7,578 kWh",384 kWh,2 kWh,"7,192 kWh",0 kWh,0 kWh,"7,578 kWh","1,842 kWh","1,793 kWh"
579,Egypt,2007,"9,031 kWh","4,491 kWh",109 kWh,"4,431 kWh",0 kWh,23 kWh,"9,031 kWh",512 kWh,489 kWh
580,Estonia,2007,"54,689 kWh","6,969 kWh","33,783 kWh","13,937 kWh",0 kWh,192 kWh,"54,689 kWh",328 kWh,46 kWh
581,Finland,2007,"46,555 kWh","7,745 kWh","15,382 kWh","23,427 kWh",2 kWh,101 kWh,"46,555 kWh","13,694 kWh","7,580 kWh"
582,France,2007,"27,315 kWh","7,298 kWh","2,436 kWh","17,581 kWh",1 kWh,188 kWh,"27,315 kWh","3,326 kWh","2,656 kWh"
583,Germany,2007,"39,590 kWh","10,918 kWh","12,420 kWh","16,253 kWh",109 kWh,"1,411 kWh","39,590 kWh","3,671 kWh",737 kWh
584,Greece,2007,"36,544 kWh","3,504 kWh","9,288 kWh","23,752 kWh",0 kWh,463 kWh,"36,544 kWh","1,265 kWh",661 kWh
585,Hong Kong,2007,"43,421 kWh","3,677 kWh","12,426 kWh","27,319 kWh",0 kWh,0 kWh,"43,421 kWh",,
586,Hungary,2007,"25,100 kWh","12,399 kWh","3,619 kWh","9,083 kWh",0 kWh,31 kWh,"25,100 kWh",620 kWh,59 kWh
587,Iceland,2007,"37,098 kWh",0 kWh,"4,097 kWh","33,001 kWh",0 kWh,0 kWh,"37,098 kWh","107,263 kWh","76,106 kWh"
588,India,2007,"4,036 kWh",326 kWh,"2,345 kWh","1,364 kWh",0 kWh,28 kWh,"4,036 kWh",348 kWh,291 kWh
589,Indonesia,2007,"6,357 kWh","1,475 kWh","1,777 kWh","3,105 kWh",0 kWh,0 kWh,"6,357 kWh",222 kWh,136 kWh
590,Iran,2007,"30,459 kWh","16,393 kWh",252 kWh,"13,815 kWh",0 kWh,6 kWh,"30,459 kWh",708 kWh,702 kWh
591,Iraq,2007,,"1,585 kWh",,"8,508 kWh",0 kWh,0 kWh,,451 kWh,451 kWh
592,Ireland,2007,"43,379 kWh","11,430 kWh","6,221 kWh","25,728 kWh",0 kWh,"1,270 kWh","43,379 kWh","1,880 kWh",432 kWh
593,Israel,2007,"36,703 kWh","3,774 kWh","13,429 kWh","19,500 kWh",0 kWh,4 kWh,"36,703 kWh",23 kWh,6 kWh
594,Italy,2007,"34,198 kWh","13,858 kWh","3,230 kWh","17,110 kWh",2 kWh,194 kWh,"34,198 kWh","2,351 kWh","1,579 kWh"
595,Japan,2007,"40,078 kWh","7,452 kWh","10,760 kWh","21,866 kWh",51 kWh,61 kWh,"40,078 kWh","2,300 kWh","1,646 kWh"
596,Kazakhstan,2007,"36,364 kWh","5,071 kWh","22,625 kWh","8,667 kWh",0 kWh,0 kWh,"36,364 kWh","1,444 kWh","1,444 kWh"
597,Kuwait,2007,"124,447 kWh","42,672 kWh",2 kWh,"81,773 kWh",0 kWh,0 kWh,"124,447 kWh",,
598,Latvia,2007,"17,414 kWh","7,394 kWh",573 kWh,"9,447 kWh",0 kWh,69 kWh,"17,414 kWh","3,691 kWh","3,551 kWh"
599,Lithuania,2007,"21,130 kWh","10,278 kWh",887 kWh,"9,965 kWh",0 kWh,92 kWh,"21,130 kWh",696 kWh,363 kWh
600,Luxembourg,2007,"101,783 kWh","27,833 kWh","1,900 kWh","72,050 kWh",123 kWh,379 kWh,"101,783 kWh","2,672 kWh",688 kWh
601,Malaysia,2007,"32,497 kWh","14,912 kWh","3,795 kWh","13,789 kWh",0 kWh,0 kWh,"32,497 kWh",725 kWh,622 kWh
602,Mexico,2007,"17,898 kWh","5,267 kWh","1,215 kWh","11,416 kWh",0 kWh,6 kWh,"17,898 kWh",940 kWh,714 kWh
603,Morocco,2007,"5,119 kWh",202 kWh,"1,204 kWh","3,714 kWh",0 kWh,25 kWh,"5,119 kWh",107 kWh,82 kWh
604,Netherlands,2007,"65,239 kWh","23,675 kWh","5,965 kWh","35,600 kWh",6 kWh,593 kWh,"65,239 kWh","1,633 kWh",18 kWh
605,New Zealand,2007,"35,074 kWh","9,985 kWh","4,672 kWh","20,417 kWh",2 kWh,623 kWh,"35,074 kWh","19,283 kWh","15,835 kWh"
606,North Macedonia,2007,"14,456 kWh",477 kWh,"8,120 kWh","5,859 kWh",0 kWh,0 kWh,"14,456 kWh","1,371 kWh","1,371 kWh"
607,Norway,2007,"35,937 kWh","8,867 kWh","1,682 kWh","25,387 kWh",4 kWh,536 kWh,"35,937 kWh","81,116 kWh","80,247 kWh"
608,Oman,2007,"66,225 kWh","46,676 kWh",3 kWh,"19,546 kWh",0 kWh,0 kWh,"66,225 kWh",,
609,Pakistan,2007,"3,455 kWh","1,858 kWh",348 kWh,"1,250 kWh",0 kWh,0 kWh,"3,455 kWh",492 kWh,492 kWh
610,Peru,2007,"4,291 kWh",900 kWh,421 kWh,"2,970 kWh",,0 kWh,"4,291 kWh","2,012 kWh","1,933 kWh"
611,Philippines,2007,"2,947 kWh",394 kWh,700 kWh,"1,853 kWh",0 kWh,2 kWh,"2,947 kWh",588 kWh,270 kWh
612,Poland,2007,"28,462 kWh","3,737 kWh","16,891 kWh","7,835 kWh",0 kWh,38 kWh,"28,462 kWh",452 kWh,173 kWh
613,Portugal,2007,"23,578 kWh","4,154 kWh","3,165 kWh","16,258 kWh",6 kWh,"1,080 kWh","23,578 kWh","4,539 kWh","2,683 kWh"
614,Qatar,2007,,"156,338 kWh",,"50,943 kWh",0 kWh,0 kWh,,,
615,Romania,2007,"18,537 kWh","7,155 kWh","5,506 kWh","5,876 kWh",0 kWh,0 kWh,"18,537 kWh","2,205 kWh","2,176 kWh"
616,Russia,2007,"48,506 kWh","29,963 kWh","7,632 kWh","10,912 kWh",0 kWh,0 kWh,"48,506 kWh","3,507 kWh","3,498 kWh"
617,Saudi Arabia,2007,"73,638 kWh","26,780 kWh",24 kWh,"46,834 kWh",0 kWh,0 kWh,"73,638 kWh",,
618,Singapore,2007,"135,920 kWh","17,476 kWh",20 kWh,"118,424 kWh",0 kWh,0 kWh,"135,920 kWh",,
619,Slovakia,2007,"27,928 kWh","11,005 kWh","8,530 kWh","8,393 kWh",0 kWh,4 kWh,"27,928 kWh","2,754 kWh","2,340 kWh"
620,Slovenia,2007,"29,797 kWh","5,256 kWh","9,043 kWh","15,498 kWh",0 kWh,0 kWh,"29,797 kWh","4,808 kWh","4,564 kWh"
621,South Africa,2007,"26,425 kWh",758 kWh,"19,461 kWh","6,205 kWh",1 kWh,1 kWh,"26,425 kWh",207 kWh,162 kWh
622,South Korea,2007,"48,710 kWh","7,524 kWh","14,387 kWh","26,798 kWh",4 kWh,22 kWh,"48,710 kWh",288 kWh,213 kWh
623,Spain,2007,"33,813 kWh","8,168 kWh","5,150 kWh","20,495 kWh",32 kWh,"1,723 kWh","33,813 kWh","3,700 kWh","1,702 kWh"
624,Sri Lanka,2007,"2,800 kWh",0 kWh,25 kWh,"2,776 kWh",1 kWh,0 kWh,"2,800 kWh",559 kWh,557 kWh
625,Sweden,2007,"26,520 kWh","1,035 kWh","3,594 kWh","21,891 kWh",1 kWh,442 kWh,"26,520 kWh","24,522 kWh","20,417 kWh"
626,Switzerland,2007,"22,511 kWh","4,063 kWh",269 kWh,"18,179 kWh",11 kWh,6 kWh,"22,511 kWh","13,733 kWh","13,217 kWh"
627,Taiwan,2007,"50,721 kWh","5,119 kWh","20,124 kWh","25,478 kWh",0 kWh,54 kWh,"50,721 kWh",902 kWh,544 kWh
628,Thailand,2007,"15,671 kWh","5,263 kWh","2,419 kWh","7,989 kWh",2 kWh,0 kWh,"15,671 kWh",479 kWh,337 kWh
629,Trinidad and Tobago,2007,"159,920 kWh","141,856 kWh",0 kWh,"18,065 kWh",7 kWh,0 kWh,"159,920 kWh",,
630,Turkey,2007,"15,200 kWh","4,809 kWh","4,863 kWh","5,528 kWh",0 kWh,14 kWh,"15,200 kWh","1,465 kWh","1,439 kWh"
631,Turkmenistan,2007,,"22,219 kWh",,"12,242 kWh",0 kWh,0 kWh,,2 kWh,2 kWh
632,USSR,2007,,,,,,,,,
