Country,Year,Fossil fuels (TWh),Coal (TWh),Oil (TWh),Gas (TWh),Renewables (TWh),Hydropower (TWh),Solar (TWh),Wind (TWh)
New Zealand,2003,150.0,22.97,82.2,44.62,78.0,69.0,0.0,0.0
North Macedonia,2003,28.0,17.21,10.09,0.7,4.0,4.0,0.0,0.0
Norway,2003,174.0,8.71,120.56,45.15,308.0,306.0,0.0,1.0
Oman,2003,138.0,0.0,42.72,95.25,184.7,123.4,0.0,0.0
Pakistan,2003,480.0,35.22,189.24,255.5,75.0,71.0,0.0,0.0
Peru,2003,93.0,9.77,78.32,5.03,55.0,54.0,8.9,0.0
Philippines,2003,262.0,50.04,185.83,25.71,50.0,23.0,0.0,0.0
Poland,2003,1027.0,652.9,243.36,130.96,7.0,5.0,0.0,0.0
Portugal,2003,252.0,38.97,182.45,30.2,52.0,46.0,0.0,1.0
Qatar,2003,1570.7,511.6,32.2,130.73,184.7,123.4,0.0,0.0
Romania,2003,389.0,106.62,111.21,171.3,38.0,38.0,0.0,0.0
Russia,2003,6578.0,1212.41,1509.19,3855.95,453.0,451.0,0.0,0.0
Saudi Arabia,2003,1569.0,0.18,998.44,570.57,184.7,123.4,0.0,0.0
Singapore,2003,453.0,0.1,401.48,51.11,184.7,123.4,0.0,0.0
Slovakia,2003,160.0,53.99,39.82,65.93,10.0,10.0,0.0,0.0
Slovenia,2003,57.0,17.3,28.91,10.54,9.0,9.0,0.0,0.0
South Africa,2003,1218.0,920.97,286.92,10.53,4.0,2.0,0.0,0.0
South Korea,2003,2108.0,594.58,1259.75,253.24,15.0,14.0,0.0,0.0
Spain,2003,1368.0,234.1,885.72,248.29,167.0,119.0,0.0,35.0
Sri Lanka,2003,1570.7,0.69,44.73,411.3,10.0,10.0,0.0,0.0
Sweden,2003,256.0,34.04,212.63,9.25,172.0,155.0,0.0,2.0
Switzerland,2003,179.0,1.59,146.39,30.56,104.0,101.0,0.0,0.0
Taiwan,2003,1023.0,396.45,542.69,84.15,15.0,9.0,0.0,0.0
Thailand,2003,887.0,111.27,491.78,284.22,25.0,21.0,0.0,0.0
Trinidad and Tobago,2003,156.0,0.0,20.75,135.2,184.7,123.4,0.0,0.0
Turkey,2003,807.0,242.09,364.58,200.48,103.0,102.0,0.0,0.0
Turkmenistan,2003,1570.7,511.6,59.94,116.17,0.0,0.0,0.0,0.0
Ukraine,2003,1338.0,451.36,165.03,722.11,27.0,27.0,0.0,0.0
United Arab Emirates,2003,631.0,1.29,260.54,369.33,184.7,123.4,0.0,0.0
United Kingdom,2003,2390.0,443.15,948.32,998.09,33.0,9.0,0.0,4.0
United States,2003,23040.0,6214.54,10803.68,6021.9,1103.0,783.0,2.0,33.0
Uzbekistan,2003,545.0,7.66,81.58,455.45,21.0,21.0,0.0,0.0
Venezuela,2003,628.0,0.5,347.74,279.99,176.0,176.0,0.0,0.0
Vietnam,2003,230.0,79.24,128.13,22.9,55.0,55.0,0.0,0.0
Algeria,2004,349.0,8.41,128.75,211.9,1.0,1.0,0.0,0.0
Argentina,2004,632.0,9.52,254.69,368.09,91.0,88.0,0.0,0.0
Australia,2004,1348.0,641.92,471.3,234.54,57.0,45.0,0.0,2.0
Austria,2004,302.0,46.58,165.33,90.49,115.0,106.0,0.0,3.0
Azerbaijan,2004,146.0,0.01,54.57,91.38,8.0,8.0,0.0,0.0
Bangladesh,2004,173.0,4.07,45.44,123.4,2.0,2.0,0.0,0.0
Belarus,2004,285.0,7.23,92.41,185.34,0.0,0.0,0.0,0.0
Belgium,2004,629.0,65.15,392.12,171.88,5.0,1.0,0.0,0.0
Brazil,2004,1433.0,156.66,1083.56,193.22,1046.0,924.0,0.0,0.0
Bulgaria,2004,162.0,82.2,53.97,26.2,9.0,9.0,0.0,0.0
Canada,2004,2509.0,349.85,1280.92,878.2,1011.0,975.0,0.0,3.0
Chile,2004,277.0,32.72,150.5,94.15,67.0,60.0,0.0,0.0
China,2004,17333.0,13155.28,3777.77,399.84,1037.0,1019.0,0.0,4.0
Colombia,2004,227.0,24.7,141.37,61.35,112.0,110.0,0.0,0.0
Croatia,2004,89.0,8.02,52.1,28.42,22.0,22.0,0.0,0.0
Cyprus,2004,1570.7,0.51,30.71,411.3,184.7,123.4,0.0,0.0
Czechia,2004,447.0,241.89,114.09,90.57,8.0,6.0,0.0,0.0
Denmark,2004,213.0,51.11,108.04,54.15,28.0,0.0,0.0,19.0
Ecuador,2004,93.0,0.02,87.29,5.38,21.0,21.0,0.0,0.0
