Country,Year,Fossil fuels (TWh),Coal (TWh),Oil (TWh),Gas (TWh),Renewables (TWh),Hydropower (TWh),Solar (TWh),Wind (TWh)
Mexico,2008,1993.0,117.55,1275.89,599.97,134.0,110.0,0.0,1.0
Morocco,2008,177.0,42.62,127.88,6.22,3.0,3.0,0.0,1.0
Netherlands,2008,1051.0,92.5,554.88,403.89,32.0,0.0,0.0,12.0
New Zealand,2008,151.0,24.47,87.22,39.05,79.0,63.0,0.0,3.0
North Macedonia,2008,30.0,17.34,11.09,1.13,2.0,2.0,0.0,0.0
Norway,2008,169.0,8.17,117.87,42.99,395.0,391.0,0.0,3.0
Oman,2008,201.0,0.01,66.97,133.8,184.7,123.4,0.0,0.0
Pakistan,2008,646.0,69.67,230.71,346.08,77.0,77.0,0.0,0.0
Peru,2008,139.0,10.73,95.09,32.69,56.0,54.0,8.9,0.0
Philippines,2008,270.0,73.92,158.54,37.17,58.0,28.0,0.0,0.0
Poland,2008,1108.0,642.18,309.67,156.44,25.0,6.0,0.0,2.0
Portugal,2008,243.0,29.26,166.03,48.02,43.0,19.0,0.0,16.0
Qatar,2008,1570.7,511.6,76.1,206.98,184.7,123.4,0.0,0.0
Romania,2008,373.0,109.89,121.23,141.41,50.0,48.0,0.0,0.0
Russia,2008,7010.0,1171.35,1611.65,4227.48,464.0,463.0,0.0,0.0
Saudi Arabia,2008,2128.0,0.75,1363.54,764.18,184.7,123.4,0.0,0.0
Singapore,2008,676.0,0.06,588.78,87.14,184.7,123.4,0.0,0.0
Slovakia,2008,153.0,45.76,47.47,60.08,14.0,11.0,0.0,0.0
Slovenia,2008,64.0,17.63,36.38,10.21,13.0,11.0,0.0,0.0
South Africa,2008,1419.0,1085.5,294.21,39.22,6.0,4.0,0.0,0.0
South Korea,2008,2374.0,768.74,1232.24,373.37,15.0,9.0,1.0,1.0
Spain,2008,1458.0,157.05,895.17,405.92,179.0,66.0,7.0,93.0
Sri Lanka,2008,1570.7,0.67,51.23,411.3,12.0,12.0,0.0,0.0
Sweden,2008,231.0,32.95,189.46,8.61,237.0,195.0,0.0,6.0
Switzerland,2008,181.0,1.82,146.14,32.65,105.0,101.0,0.0,0.0
Taiwan,2008,1122.0,442.01,552.1,127.66,20.0,12.0,0.0,2.0
Thailand,2008,1047.0,174.31,502.8,369.42,33.0,20.0,0.0,0.0
Trinidad and Tobago,2008,218.0,0.0,26.62,191.58,184.7,123.4,0.0,0.0
Turkey,2008,1081.0,344.2,384.22,352.98,97.0,93.0,0.0,2.0
Turkmenistan,2008,1570.7,511.6,63.12,78.92,0.0,0.0,0.0,0.0
Ukraine,2008,1286.0,486.11,172.89,627.47,33.0,32.0,0.0,0.0
United Arab Emirates,2008,938.0,3.99,354.69,579.72,184.7,123.4,0.0,0.0
United Kingdom,2008,2343.0,420.33,944.66,978.33,74.0,14.0,0.0,20.0
United States,2008,22796.0,6233.05,10273.69,6288.91,1321.0,705.0,5.0,157.0
Uzbekistan,2008,517.0,11.63,63.92,441.31,12.0,12.0,0.0,0.0
Venezuela,2008,740.0,1.64,389.84,349.0,244.0,244.0,0.0,0.0
Vietnam,2008,384.0,138.26,173.38,72.37,73.0,73.0,0.0,0.0
Algeria,2009,448.0,5.65,180.13,262.12,1.0,1.0,0.0,0.0
Argentina,2009,730.0,9.62,302.03,418.36,101.0,97.0,0.0,0.0
Australia,2009,1450.0,654.86,504.14,291.36,59.0,35.0,1.0,12.0
Austria,2009,267.0,33.46,145.45,88.32,140.0,114.0,0.0,5.0
Azerbaijan,2009,124.0,0.05,38.54,85.82,6.0,6.0,0.0,0.0
Bangladesh,2009,242.0,13.61,41.34,187.47,1.0,1.0,0.0,0.0
Belarus,2009,282.0,7.18,105.51,169.32,1.0,0.0,0.0,0.0
Belgium,2009,571.0,34.35,360.92,175.74,18.0,1.0,0.0,3.0
Brazil,2009,1555.0,129.21,1218.8,206.69,1329.0,1092.0,0.0,3.0
Bulgaria,2009,151.0,73.79,52.83,24.26,10.0,10.0,0.0,1.0
Canada,2009,2392.0,280.08,1214.62,897.28,1086.0,1030.0,0.0,19.0
Chile,2009,273.0,46.46,198.6,27.95,81.0,70.0,0.0,0.0
China,2009,25088.0,19605.02,4580.3,902.24,1884.0,1719.0,1.0,77.0
Colombia,2009,283.0,47.5,151.37,83.79,121.0,114.0,0.0,0.0
Croatia,2009,85.0,5.89,51.65,27.95,21.0,21.0,0.0,0.0
Cyprus,2009,1570.7,0.14,34.59,411.3,184.7,123.4,0.0,0.0
Czechia,2009,404.0,211.58,113.18,79.13,16.0,7.0,0.0,1.0
Denmark,2009,185.0,46.8,92.41,45.83,30.0,0.0,0.0,19.0
Ecuador,2009,113.0,0.07,107.39,5.88,26.0,26.0,0.0,0.0
Egypt,2009,820.0,7.2,403.66,409.45,41.0,38.0,0.0,3.0
Estonia,2009,57.0,34.97,15.99,6.11,2.0,0.0,0.0,1.0
Finland,2009,213.0,62.49,112.83,37.38,66.0,35.0,0.0,1.0
France,2009,1588.0,125.03,1015.34,447.31,224.0,159.0,0.0,22.0
Germany,2009,3018.0,834.29,1339.84,844.3,312.0,53.0,19.0,110.0
Greece,2009,373.0,98.01,236.81,37.81,24.0,15.0,0.0,7.0
Hong Kong,2009,309.0,83.25,196.68,28.92,0.0,0.0,0.0,0.0
Hungary,2009,220.0,29.72,84.23,106.44,11.0,1.0,0.0,1.0
Iceland,2009,1570.7,1.03,8.83,411.3,46.0,34.0,0.0,0.0
India,2009,5553.0,3268.27,1793.48,491.08,389.0,297.0,0.0,45.0
Indonesia,2009,1547.0,378.32,747.33,421.01,59.0,32.0,0.0,0.0
Iran,2009,2360.0,9.26,1002.68,1347.94,19.0,19.0,0.0,1.0
Iraq,2009,1570.7,511.6,263.08,68.53,8.0,8.0,0.0,0.0
Ireland,2009,164.0,23.2,91.39,49.56,12.0,3.0,0.0,8.0
Israel,2009,255.0,89.97,124.93,40.02,0.0,0.0,0.0,0.0
Italy,2009,1763.0,143.82,875.99,743.18,209.0,137.0,2.0,18.0
Japan,2009,4527.0,1186.95,2415.51,924.78,278.0,197.0,9.0,10.0
Kazakhstan,2009,553.0,359.79,112.73,80.93,19.0,19.0,0.0,0.0
Kuwait,2009,349.0,0.0,230.92,118.46,184.7,123.4,0.0,0.0
Latvia,2009,34.0,0.99,18.38,14.45,10.0,10.0,0.0,0.0
Lithuania,2009,58.0,1.96,31.07,25.37,3.0,1.0,0.0,0.0
Luxembourg,2009,46.0,0.78,32.63,12.94,1.0,0.0,0.0,0.0
Malaysia,2009,879.0,123.46,355.62,400.22,24.0,19.0,0.0,0.0
Mexico,2009,1991.0,119.75,1219.58,651.69,98.0,75.0,0.0,2.0
Morocco,2009,168.0,31.47,129.22,6.83,8.0,7.0,0.0,1.0
Netherlands,2009,1031.0,87.22,530.08,413.58,37.0,0.0,0.0,13.0
New Zealand,2009,142.0,18.82,83.4,40.14,87.0,68.0,0.0,4.0
North Macedonia,2009,28.0,15.55,11.58,0.75,4.0,4.0,0.0,0.0
Norway,2009,167.0,6.5,119.02,41.29,354.0,350.0,0.0,3.0
Oman,2009,199.0,0.02,63.71,135.47,184.7,123.4,0.0,0.0
Pakistan,2009,650.0,57.3,246.17,347.02,80.0,80.0,0.0,0.0
Peru,2009,140.0,9.64,96.45,33.44,59.0,56.0,8.9,0.0
Philippines,2009,274.0,70.56,166.28,37.42,57.0,27.0,0.0,0.0
Poland,2009,1060.0,602.87,306.27,150.95,34.0,7.0,0.0,3.0
Portugal,2009,235.0,33.22,153.8,47.69,55.0,23.0,0.0,21.0
Qatar,2009,1570.7,511.6,74.3,212.71,184.7,123.4,0.0,0.0
Romania,2009,319.0,87.61,107.87,123.05,45.0,43.0,0.0,0.0
Russia,2009,6596.0,1071.75,1546.32,3977.89,488.0,486.0,0.0,0.0
Saudi Arabia,2009,2205.0,0.27,1459.59,745.27,184.7,123.4,0.0,0.0
Singapore,2009,727.0,0.05,634.79,91.81,184.7,123.4,0.0,0.0
Slovakia,2009,140.0,44.54,43.66,51.47,15.0,12.0,0.0,0.0
Slovenia,2009,57.0,16.37,30.95,9.67,14.0,13.0,0.0,0.0
South Africa,2009,1413.0,1091.17,288.55,33.24,6.0,4.0,0.0,0.0
South Korea,2009,2400.0,797.76,1246.88,354.92,16.0,8.0,2.0,2.0
Spain,2009,1313.0,109.67,839.86,363.08,211.0,74.0,17.0,106.0
Sri Lanka,2009,1570.7,0.68,52.81,411.3,11.0,11.0,0.0,0.0
Sweden,2009,217.0,23.23,182.32,11.49,230.0,183.0,0.0,7.0
Switzerland,2009,182.0,1.72,148.45,31.34,104.0,100.0,0.0,0.0
Taiwan,2009,1088.0,421.6,542.13,124.67,19.0,10.0,0.0,2.0
Thailand,2009,1073.0,174.9,517.23,381.24,35.0,19.0,0.0,0.0
Trinidad and Tobago,2009,216.0,0.0,25.51,190.88,184.7,123.4,0.0,0.0
Turkey,2009,1088.0,359.34,391.06,337.22,107.0,100.0,0.0,4.0
Turkmenistan,2009,1570.7,511.6,60.46,171.13,0.0,0.0,0.0,0.0
Ukraine,2009,1074.0,417.17,168.18,489.09,34.0,33.0,0.0,0.0
United Arab Emirates,2009,926.0,3.19,346.49,575.88,184.7,123.4,0.0,0.0
United Kingdom,2009,2159.0,346.7,899.68,912.24,86.0,15.0,0.0,26.0
United States,2009,21396.0,5482.38,9737.24,6176.28,1456.0,758.0,6.0,208.0
Uzbekistan,2009,507.0,11.07,55.23,440.73,18.0,18.0,0.0,0.0
Venezuela,2009,742.0,2.76,397.19,342.17,240.0,240.0,0.0,0.0
Vietnam,2009,384.0,129.73,176.75,77.3,84.0,84.0,0.0,0.0
Algeria,2010,438.0,3.61,181.61,253.27,1.0,0.0,0.0,0.0
Argentina,2010,762.0,13.47,327.44,420.87,103.0,93.0,0.0,0.0
Australia,2010,1444.0,607.39,519.31,317.06,65.0,38.0,3.0,14.0
Austria,2010,287.0,39.34,151.92,96.13,133.0,106.0,0.0,6.0
Azerbaijan,2010,119.0,0.05,37.75,81.58,10.0,10.0,0.0,0.0
Bangladesh,2010,248.0,8.68,46.8,192.54,2.0,2.0,0.0,0.0
Belarus,2010,305.0,7.51,90.67,207.28,1.0,0.0,0.0,0.0
Belgium,2010,613.0,43.6,374.98,194.04,24.0,1.0,2.0,4.0
Brazil,2010,1749.0,168.2,1305.48,275.77,1397.0,1119.0,0.0,6.0
Bulgaria,2010,155.0,80.05,47.89,26.72,16.0,14.0,0.0,2.0
Canada,2010,2469.0,286.99,1266.49,915.72,1044.0,975.0,1.0,24.0
Chile,2010,292.0,52.23,182.13,57.4,72.0,60.0,0.0,1.0
China,2010,26644.0,20340.54,5214.49,1088.74,2213.0,1975.0,2.0,137.0
Colombia,2010,303.0,55.91,159.78,87.45,121.0,113.0,0.0,0.0
Croatia,2010,82.0,7.94,43.89,30.61,26.0,25.0,0.0,0.0
Cyprus,2010,1570.7,0.17,33.5,411.3,184.7,123.4,0.0,0.0
Czechia,2010,419.0,218.38,106.87,93.85,20.0,8.0,2.0,1.0
Denmark,2010,191.0,45.47,93.89,51.84,37.0,0.0,0.0,22.0
Ecuador,2010,130.0,0.12,124.13,6.19,25.0,24.0,0.0,0.0
Egypt,2010,855.0,5.4,415.59,434.18,40.0,36.0,0.0,4.0
Estonia,2010,70.0,46.83,16.48,6.54,3.0,0.0,0.0,1.0
Finland,2010,237.0,78.92,117.17,41.3,73.0,36.0,0.0,1.0
France,2010,1610.0,133.87,980.46,495.64,246.0,174.0,2.0,28.0
Germany,2010,3135.0,896.17,1357.64,880.71,338.0,58.0,33.0,107.0
Greece,2010,348.0,91.51,214.72,41.44,31.0,21.0,0.0,8.0
Hong Kong,2010,321.0,72.42,212.64,35.94,0.0,0.0,0.0,0.0
Hungary,2010,225.0,31.31,79.05,114.15,11.0,1.0,0.0,1.0
Iceland,2010,1570.7,1.08,8.46,411.3,47.0,35.0,0.0,0.0
India,2010,5771.0,3348.55,1832.57,589.62,413.0,302.0,0.0,54.0
Indonesia,2010,1661.0,429.62,791.23,440.48,77.0,48.0,0.0,0.0
Iran,2010,2393.0,13.36,935.38,1443.89,29.0,28.0,0.0,0.0
Iraq,2010,1570.7,511.6,299.04,71.35,10.0,10.0,0.0,0.0
Ireland,2010,167.0,23.1,89.0,54.67,12.0,2.0,0.0,8.0
Israel,2010,265.0,89.92,123.85,51.13,1.0,0.0,0.0,0.0
Italy,2010,1804.0,159.03,853.39,791.5,233.0,142.0,5.0,25.0
Japan,2010,4791.0,1352.73,2438.68,999.37,338.0,246.0,11.0,11.0
Kazakhstan,2010,592.0,388.26,116.3,87.57,22.0,22.0,0.0,0.0
Kuwait,2010,393.0,0.04,253.16,139.76,184.7,123.4,0.0,0.0
Latvia,2010,39.0,1.27,20.74,17.23,10.0,10.0,0.0,0.0
Lithuania,2010,63.0,2.41,31.25,28.98,3.0,1.0,0.0,1.0
Luxembourg,2010,49.0,0.78,34.17,13.92,1.0,0.0,0.0,0.0
Malaysia,2010,911.0,171.74,359.26,380.23,22.0,18.0,0.0,0.0
Mexico,2010,1980.0,148.12,1171.32,660.45,128.0,103.0,0.0,3.0
Morocco,2010,184.0,32.42,143.71,7.38,11.0,10.0,0.0,2.0
Netherlands,2010,1123.0,87.78,568.0,467.58,37.0,0.0,0.0,11.0
New Zealand,2010,144.0,16.07,84.06,43.76,91.0,69.0,0.0,5.0
North Macedonia,2010,27.0,15.06,11.23,1.11,7.0,7.0,0.0,0.0
Norway,2010,171.0,8.86,121.6,40.97,329.0,324.0,0.0,2.0
Oman,2010,237.0,0.34,72.78,163.81,184.7,123.4,0.0,0.0
Pakistan,2010,651.0,53.85,243.88,353.48,83.0,83.0,0.0,0.0
Peru,2010,165.0,9.46,101.52,54.24,60.0,56.0,8.9,0.0
Philippines,2010,290.0,81.77,173.12,35.25,51.0,22.0,0.0,0.0
Poland,2010,1126.0,640.52,323.05,162.33,40.0,8.0,0.0,5.0
Portugal,2010,222.0,19.16,150.46,51.89,84.0,45.0,1.0,25.0
Qatar,2010,1570.7,511.6,79.81,254.06,184.7,123.4,0.0,0.0
Romania,2010,310.0,81.89,102.89,125.47,58.0,55.0,0.0,1.0
Russia,2010,6897.0,1053.02,1604.92,4239.2,464.0,462.0,0.0,0.0
Saudi Arabia,2010,2451.0,0.79,1617.54,832.77,184.7,123.4,0.0,0.0
Singapore,2010,771.0,0.09,687.98,83.36,184.7,123.4,0.0,0.0
Slovakia,2010,149.0,44.79,45.79,58.22,18.0,15.0,0.0,0.0
Slovenia,2010,58.0,16.7,31.07,10.03,14.0,13.0,0.0,0.0
South Africa,2010,1422.0,1079.54,301.25,41.22,5.0,3.0,0.0,0.0
South Korea,2010,2621.0,897.16,1274.0,450.16,20.0,10.0,2.0,2.0
Spain,2010,1259.0,80.21,817.32,361.96,286.0,117.0,20.0,121.0
Sri Lanka,2010,1570.7,0.7,52.98,411.3,16.0,16.0,0.0,0.0
Sweden,2010,229.0,32.03,181.98,15.47,241.0,186.0,0.0,10.0
Switzerland,2010,174.0,1.72,137.77,35.0,105.0,100.0,0.0,0.0
Taiwan,2010,1175.0,452.32,567.48,154.8,21.0,12.0,0.0,3.0
Thailand,2010,1147.0,179.48,535.2,432.06,34.0,15.0,0.0,0.0
Trinidad and Tobago,2010,234.0,0.0,26.46,207.4,0.0,0.0,0.0,0.0
Turkey,2010,1105.0,365.62,381.21,358.21,155.0,144.0,0.0,8.0
Turkmenistan,2010,1570.7,511.6,66.84,182.72,0.0,0.0,0.0,0.0
Ukraine,2010,1152.0,444.86,161.76,545.61,37.0,37.0,0.0,0.0
United Arab Emirates,2010,972.0,7.65,372.07,592.72,184.7,123.4,0.0,0.0
United Kingdom,2010,2225.0,354.81,885.2,984.93,91.0,10.0,0.0,29.0
United States,2010,22174.0,5800.54,9891.23,6481.93,1516.0,714.0,8.0,265.0
Uzbekistan,2010,508.0,9.23,58.78,440.44,23.0,23.0,0.0,0.0
Venezuela,2010,734.0,2.32,418.58,312.67,213.0,213.0,0.0,0.0
Vietnam,2010,461.0,169.26,200.76,90.73,79.0,79.0,0.0,0.0
Algeria,2011,463.0,3.2,192.23,267.97,1.0,1.0,0.0,0.0
Argentina,2011,793.0,14.62,339.91,438.4,99.0,86.0,0.0,0.0
Australia,2011,1470.0,592.06,547.06,330.82,89.0,54.0,6.0,18.0
Austria,2011,275.0,40.41,144.4,90.42,121.0,94.0,0.0,5.0
Azerbaijan,2011,139.0,0.04,49.83,89.35,7.0,7.0,0.0,0.0
Bangladesh,2011,269.0,12.92,60.02,195.82,3.0,2.0,0.0,0.0
Belarus,2011,300.0,9.02,98.7,192.26,1.0,0.0,0.0,0.0
Belgium,2011,557.0,41.05,350.52,165.24,29.0,1.0,3.0,6.0
Brazil,2011,1806.0,179.67,1351.84,274.83,1448.0,1182.0,0.0,7.0
Bulgaria,2011,170.0,94.14,45.73,30.59,11.0,8.0,0.0,2.0
Canada,2011,2532.0,258.73,1268.16,1005.51,1116.0,1036.0,2.0,28.0
Chile,2011,314.0,66.99,189.08,58.37,71.0,57.0,0.0,1.0
China,2011,28886.0,22143.6,5390.73,1351.63,2220.0,1898.0,7.0,204.0
Colombia,2011,299.0,45.27,168.51,85.15,145.0,134.0,0.0,0.0
Croatia,2011,80.0,8.17,41.73,29.89,15.0,14.0,0.0,1.0
Cyprus,2011,1570.7,0.08,32.95,411.3,184.7,123.4,0.0,0.0
Czechia,2011,402.0,214.99,108.28,79.19,25.0,5.0,6.0,1.0
Denmark,2011,172.0,37.84,90.33,43.47,43.0,0.0,0.0,27.0
Ecuador,2011,133.0,0.11,127.3,5.61,32.0,31.0,0.0,0.0
Egypt,2011,897.0,5.13,414.73,477.59,41.0,36.0,1.0,4.0
Estonia,2011,69.0,47.39,16.07,5.85,4.0,0.0,0.0,1.0
Finland,2011,215.0,64.12,114.59,36.12,74.0,34.0,0.0,1.0
France,2011,1503.0,113.61,959.39,430.19,208.0,124.0,6.0,34.0
Germany,2011,3033.0,910.79,1313.27,808.61,392.0,49.0,55.0,138.0
Greece,2011,348.0,91.85,204.58,51.1,24.0,11.0,2.0,9.0
Hong Kong,2011,329.0,86.15,214.11,28.63,0.0,0.0,0.0,0.0
Hungary,2011,218.0,31.55,77.14,109.14,10.0,1.0,0.0,2.0
Iceland,2011,1570.7,1.08,8.34,411.3,47.0,35.0,0.0,0.0
India,2011,6002.0,3478.86,1920.22,602.86,499.0,363.0,2.0,66.0
Indonesia,2011,1772.0,496.27,848.44,427.34,64.0,34.0,0.0,0.0
Iran,2011,2499.0,13.73,953.44,1531.93,30.0,29.0,0.0,1.0
Iraq,2011,1570.7,511.6,318.97,63.02,9.0,9.0,0.0,0.0
Ireland,2011,154.0,22.67,83.33,48.09,16.0,2.0,0.0,12.0
Israel,2011,269.0,92.25,129.74,47.49,1.0,0.0,1.0,0.0
Italy,2011,1749.0,178.27,828.88,742.16,249.0,126.0,30.0,27.0
Japan,2011,4841.0,1282.65,2438.13,1120.25,323.0,228.0,15.0,12.0
Kazakhstan,2011,675.0,422.64,154.12,98.74,22.0,22.0,0.0,0.0
Kuwait,2011,404.0,0.16,244.83,158.58,184.7,123.4,0.0,0.0
Latvia,2011,36.0,1.29,19.04,15.18,9.0,8.0,0.0,0.0
Lithuania,2011,65.0,2.79,30.43,31.62,4.0,1.0,0.0,1.0
Luxembourg,2011,48.0,0.68,34.89,12.01,1.0,0.0,0.0,0.0
Malaysia,2011,922.0,171.68,366.93,383.17,27.0,22.0,0.0,0.0
Mexico,2011,2068.0,171.33,1188.15,708.08,126.0,100.0,0.0,5.0
Morocco,2011,197.0,34.63,153.34,9.34,7.0,6.0,0.0,2.0
Netherlands,2011,1063.0,86.58,567.43,409.28,41.0,0.0,0.0,14.0
New Zealand,2011,143.0,16.27,86.1,40.22,94.0,69.0,0.0,5.0
North Macedonia,2011,30.0,17.2,11.63,1.28,4.0,4.0,0.0,0.0
Norway,2011,170.0,9.83,119.49,40.32,338.0,332.0,0.0,4.0
Oman,2011,260.0,0.12,78.74,180.82,184.7,123.4,0.0,0.0
Pakistan,2011,645.0,46.43,245.53,353.4,84.0,84.0,0.0,0.0
Peru,2011,185.0,9.51,112.07,62.93,64.0,59.0,8.9,0.0
Philippines,2011,292.0,89.85,163.62,38.06,56.0,27.0,0.0,0.0
Poland,2011,1126.0,639.22,321.77,164.53,47.0,6.0,0.0,9.0
Portugal,2011,220.0,25.83,141.33,52.54,71.0,32.0,1.0,25.0
Qatar,2011,1570.7,511.6,100.93,289.43,184.7,123.4,0.0,0.0
Romania,2011,330.0,95.47,105.71,129.15,47.0,41.0,0.0,4.0
Russia,2011,7171.0,1093.42,1721.72,4356.36,451.0,450.0,0.0,0.0
Saudi Arabia,2011,2557.0,0.77,1680.04,876.47,184.7,123.4,0.0,0.0
Singapore,2011,801.0,0.07,717.66,82.87,184.7,123.4,0.0,0.0
Slovakia,2011,141.0,42.46,45.03,53.93,15.0,10.0,1.0,0.0
Slovenia,2011,56.0,16.93,30.95,8.58,11.0,10.0,0.0,0.0
South Africa,2011,1400.0,1052.66,304.78,42.81,11.0,8.0,0.0,0.0
South Korea,2011,2745.0,973.28,1286.91,484.45,24.0,13.0,3.0,2.0
Spain,2011,1265.0,148.76,780.0,336.46,260.0,84.0,24.0,117.0
Sri Lanka,2011,1570.7,3.48,59.08,411.3,13.0,13.0,0.0,0.0
Sweden,2011,210.0,28.6,168.72,12.22,245.0,185.0,0.0,17.0
Switzerland,2011,166.0,1.59,133.63,31.05,95.0,89.0,0.0,0.0
Taiwan,2011,1167.0,468.86,527.55,170.4,22.0,11.0,0.0,4.0
Thailand,2011,1169.0,182.52,543.34,443.18,43.0,22.0,0.0,0.0
Trinidad and Tobago,2011,230.0,0.0,24.85,204.81,0.0,0.0,0.0,0.0
Turkey,2011,1185.0,394.01,373.02,418.4,161.0,144.0,0.0,13.0
Turkmenistan,2011,1570.7,511.6,69.64,207.35,0.0,0.0,0.0,0.0
Ukraine,2011,1205.0,482.53,161.1,561.27,31.0,30.0,0.0,0.0
United Arab Emirates,2011,1021.0,5.17,399.34,616.36,184.7,123.4,0.0,0.0
United Kingdom,2011,2044.0,357.7,867.31,819.18,115.0,16.0,1.0,44.0
United States,2011,21750.0,5473.07,9694.56,6582.11,1774.0,872.0,13.0,335.0
Uzbekistan,2011,543.0,9.88,59.72,473.56,16.0,16.0,0.0,0.0
Venezuela,2011,741.0,2.39,404.86,333.26,229.0,229.0,0.0,0.0
Vietnam,2011,484.0,201.71,199.98,81.83,114.0,113.0,0.0,0.0
Algeria,2012,507.0,3.4,204.4,298.74,1.0,1.0,0.0,0.0
Argentina,2012,831.0,13.67,360.51,456.64,96.0,80.0,0.0,1.0
Australia,2012,1449.0,554.47,561.42,332.85,87.0,47.0,7.0,21.0
Austria,2012,266.0,37.62,141.87,86.24,149.0,120.0,1.0,7.0
Azerbaijan,2012,146.0,0.04,52.37,93.77,5.0,5.0,0.0,0.0
Bangladesh,2012,292.0,10.66,68.36,213.36,2.0,2.0,0.0,0.0
Belarus,2012,324.0,9.2,121.14,194.1,1.0,0.0,0.0,0.0
Belgium,2012,544.0,38.66,337.58,167.4,35.0,1.0,6.0,8.0
Brazil,2012,1936.0,177.8,1431.95,325.77,1415.0,1139.0,0.0,14.0
Bulgaria,2012,157.0,80.43,47.57,28.51,16.0,9.0,2.0,3.0
Canada,2012,2525.0,245.41,1285.49,994.24,1133.0,1043.0,2.0,31.0
Chile,2012,327.0,78.1,196.14,53.01,76.0,55.0,0.0,1.0
China,2012,29585.0,22422.36,5654.3,1508.78,2780.0,2366.0,10.0,283.0
Colombia,2012,329.0,54.56,180.11,94.66,143.0,130.0,0.0,0.0
Croatia,2012,73.0,7.33,37.4,28.07,15.0,13.0,0.0,1.0
Cyprus,2012,1570.7,0.0,30.69,411.3,184.7,123.4,0.0,1.0
Czechia,2012,393.0,206.15,106.94,79.74,27.0,6.0,6.0,1.0
Denmark,2012,154.0,29.66,83.77,40.6,45.0,0.0,0.0,28.0
Ecuador,2012,139.0,0.13,131.77,7.49,35.0,34.0,0.0,0.0
Egypt,2012,934.0,4.54,423.54,506.37,41.0,36.0,1.0,4.0
Estonia,2012,69.0,43.54,19.05,6.34,5.0,0.0,0.0,1.0
Finland,2012,195.0,52.5,110.06,31.95,85.0,46.0,0.0,1.0
France,2012,1500.0,128.7,927.17,444.44,262.0,161.0,11.0,41.0
Germany,2012,3053.0,936.07,1305.39,811.1,448.0,60.0,73.0,142.0
Greece,2012,320.0,94.66,178.33,46.96,29.0,12.0,5.0,11.0
Hong Kong,2012,316.0,84.8,205.14,26.36,0.0,0.0,0.0,0.0
Hungary,2012,200.0,30.35,72.02,97.4,10.0,1.0,0.0,2.0
Iceland,2012,1570.7,1.11,8.26,411.3,48.0,34.0,0.0,0.0
India,2012,6381.0,3787.82,2036.42,556.99,474.0,317.0,6.0,75.0
Indonesia,2012,1828.0,505.71,892.11,429.71,68.0,35.0,0.0,0.0
Iran,2012,2519.0,10.65,982.97,1525.46,35.0,34.0,0.0,1.0
Iraq,2012,1570.7,511.6,351.55,63.41,12.0,12.0,0.0,0.0
Ireland,2012,152.0,26.3,78.68,46.9,16.0,2.0,0.0,11.0
Israel,2012,281.0,102.47,154.57,24.42,1.0,0.0,1.0,0.0
Italy,2012,1669.0,182.73,772.21,713.57,275.0,115.0,52.0,37.0
Japan,2012,5189.0,1354.2,2602.73,1232.15,316.0,211.0,20.0,13.0
Kazakhstan,2012,712.0,440.27,164.62,107.34,21.0,21.0,0.0,0.0
Kuwait,2012,415.0,0.76,238.8,175.32,184.7,123.4,0.0,0.0
Latvia,2012,34.0,1.07,19.01,14.27,12.0,10.0,0.0,0.0
Lithuania,2012,65.0,2.72,30.96,30.87,4.0,1.0,0.0,1.0
Luxembourg,2012,47.0,0.62,33.67,12.22,1.0,0.0,0.0,0.0
Malaysia,2012,1007.0,184.58,402.15,420.16,32.0,25.0,0.0,0.0
Mexico,2012,2099.0,149.27,1213.67,736.54,117.0,87.0,0.0,10.0
Morocco,2012,202.0,35.17,154.29,12.49,6.0,4.0,0.0,2.0
Netherlands,2012,1044.0,95.14,555.91,392.83,42.0,0.0,1.0,14.0
New Zealand,2012,150.0,20.27,85.01,44.65,88.0,63.0,0.0,6.0
North Macedonia,2012,29.0,16.19,11.24,1.33,3.0,3.0,0.0,0.0
Norway,2012,167.0,9.53,116.85,40.15,396.0,389.0,0.0,4.0
Oman,2012,283.0,0.36,85.79,197.16,184.7,123.4,0.0,0.0
Pakistan,2012,651.0,47.09,237.93,365.97,30.0,29.0,0.0,0.0
Peru,2012,190.0,10.15,111.45,68.62,67.0,60.0,0.0,0.0
Philippines,2012,301.0,94.03,170.06,36.48,59.0,28.0,0.0,0.0
Poland,2012,1080.0,595.8,309.69,174.19,60.0,6.0,0.0,13.0
Portugal,2012,208.0,33.85,128.69,45.55,58.0,15.0,1.0,28.0
Qatar,2012,443.0,0.05,106.6,336.03,184.7,123.4,0.0,0.0
Romania,2012,320.0,88.01,106.4,125.34,43.0,33.0,0.0,7.0
Russia,2012,7212.0,1144.69,1780.81,4286.26,450.0,448.0,0.0,0.0
Saudi Arabia,2012,2714.0,0.9,1769.61,943.63,184.7,123.4,0.0,0.0
Singapore,2012,802.0,0.29,712.69,89.3,184.7,123.4,0.0,0.0
Slovakia,2012,133.0,40.04,41.79,50.77,17.0,11.0,1.0,0.0
Slovenia,2012,55.0,16.07,30.3,8.25,13.0,11.0,0.0,0.0
South Africa,2012,1384.0,1027.38,312.59,43.57,5.0,3.0,0.0,0.0
South Korea,2012,2796.0,937.8,1332.99,525.29,25.0,11.0,3.0,3.0
Spain,2012,1241.0,180.17,729.07,332.26,265.0,56.0,33.0,136.0
