Country,Year,Fossil fuels,Gas,Coal,Oil,Solar,Wind,Renewables,Hydropower
Norway,2005,170 TWh,43.70 TWh,8.40 TWh,117.61 TWh,0 TWh,1 TWh,391 TWh,389 TWh
Oman,2005,155 TWh,107.78 TWh,0.00 TWh,47.22 TWh,0 TWh,0 TWh,,
Pakistan,2005,552 TWh,326.10 TWh,43.61 TWh,181.89 TWh,0 TWh,0 TWh,88 TWh,88 TWh
Peru,2005,111 TWh,14.60 TWh,10.72 TWh,85.75 TWh,,0 TWh,53 TWh,51 TWh
Philippines,2005,269 TWh,31.44 TWh,61.84 TWh,175.74 TWh,0 TWh,0 TWh,51 TWh,24 TWh
Poland,2005,"1,052 TWh",142.29 TWh,641.02 TWh,268.95 TWh,0 TWh,0 TWh,12 TWh,6 TWh
Portugal,2005,273 TWh,42.88 TWh,38.80 TWh,191.18 TWh,0 TWh,5 TWh,24 TWh,14 TWh
Qatar,2005,223 TWh,178.93 TWh,0.00 TWh,43.94 TWh,0 TWh,0 TWh,,
Romania,2005,385 TWh,161.93 TWh,99.98 TWh,123.24 TWh,0 TWh,0 TWh,58 TWh,58 TWh
Russia,2005,"6,598 TWh","4,004.01 TWh","1,099.90 TWh","1,493.82 TWh",0 TWh,0 TWh,496 TWh,494 TWh
Saudi Arabia,2005,"1,811 TWh",676.78 TWh,0.33 TWh,"1,134.00 TWh",0 TWh,0 TWh,,
Singapore,2005,535 TWh,61.86 TWh,0.10 TWh,473.31 TWh,0 TWh,0 TWh,,
Slovakia,2005,164 TWh,68.65 TWh,49.09 TWh,46.30 TWh,0 TWh,0 TWh,14 TWh,13 TWh
Slovenia,2005,59 TWh,10.78 TWh,17.65 TWh,30.32 TWh,0 TWh,0 TWh,10 TWh,10 TWh
South Africa,2005,"1,263 TWh",34.55 TWh,930.26 TWh,298.22 TWh,0 TWh,0 TWh,5 TWh,4 TWh
South Korea,2005,"2,212 TWh",317.73 TWh,637.27 TWh,"1,257.24 TWh",0 TWh,0 TWh,12 TWh,11 TWh
Spain,2005,"1,500 TWh",347.02 TWh,238.57 TWh,914.42 TWh,0 TWh,61 TWh,123 TWh,51 TWh
Sri Lanka,2005,,,0.68 TWh,51.17 TWh,0 TWh,0 TWh,10 TWh,10 TWh
Sweden,2005,245 TWh,8.78 TWh,32.02 TWh,203.84 TWh,0 TWh,3 TWh,236 TWh,207 TWh
Switzerland,2005,182 TWh,32.36 TWh,1.68 TWh,148.30 TWh,0 TWh,0 TWh,93 TWh,89 TWh
Taiwan,2005,"1,083 TWh",103.20 TWh,419.94 TWh,559.43 TWh,0 TWh,0 TWh,18 TWh,12 TWh
Thailand,2005,998 TWh,320.59 TWh,134.76 TWh,543.03 TWh,0 TWh,0 TWh,23 TWh,16 TWh
Trinidad and Tobago,2005,184 TWh,163.75 TWh,0.00 TWh,20.11 TWh,0 TWh,0 TWh,,
Turkey,2005,883 TWh,257.23 TWh,257.69 TWh,368.02 TWh,0 TWh,0 TWh,114 TWh,113 TWh
Turkmenistan,2005,,116.46 TWh,,60.13 TWh,0 TWh,0 TWh,0 TWh,0 TWh
USSR,2005,,,,,,,,
Ukraine,2005,"1,326 TWh",722.11 TWh,433.76 TWh,170.23 TWh,0 TWh,0 TWh,36 TWh,35 TWh
United Arab Emirates,2005,705 TWh,409.99 TWh,1.69 TWh,292.92 TWh,0 TWh,0 TWh,,
United Kingdom,2005,"2,437 TWh",993.87 TWh,440.46 TWh,"1,002.57 TWh",0 TWh,8 TWh,52 TWh,14 TWh
United States,2005,"23,513 TWh","5,951.93 TWh","6,346.96 TWh","11,214.08 TWh",2 TWh,52 TWh,"1,135 TWh",763 TWh
Uzbekistan,2005,543 TWh,469.22 TWh,9.83 TWh,63.85 TWh,0 TWh,0 TWh,20 TWh,20 TWh
Venezuela,2005,679 TWh,304.35 TWh,0.43 TWh,374.21 TWh,0 TWh,0 TWh,221 TWh,221 TWh
Vietnam,2005,322 TWh,62.15 TWh,108.74 TWh,151.40 TWh,0 TWh,0 TWh,48 TWh,47 TWh
Algeria,2006,379 TWh,228.50 TWh,10.26 TWh,139.85 TWh,0 TWh,0 TWh,1 TWh,1 TWh
Argentina,2006,698 TWh,406.50 TWh,9.92 TWh,281.32 TWh,0 TWh,0 TWh,112 TWh,108 TWh
Australia,2006,"1,409 TWh",259.43 TWh,655.50 TWh,493.64 TWh,0 TWh,6 TWh,62 TWh,43 TWh
Austria,2006,301 TWh,89.53 TWh,46.67 TWh,164.51 TWh,0 TWh,5 TWh,120 TWh,101 TWh
Azerbaijan,2006,157 TWh,99.78 TWh,0.04 TWh,57.11 TWh,0 TWh,0 TWh,7 TWh,7 TWh
Bangladesh,2006,203 TWh,143.63 TWh,12.68 TWh,46.74 TWh,0 TWh,0 TWh,2 TWh,2 TWh
Belarus,2006,302 TWh,193.95 TWh,7.14 TWh,100.95 TWh,0 TWh,0 TWh,0 TWh,0 TWh
Belgium,2006,622 TWh,173.89 TWh,59.08 TWh,388.74 TWh,0 TWh,1 TWh,9 TWh,1 TWh
Brazil,2006,"1,487 TWh",211.70 TWh,148.97 TWh,"1,126.73 TWh",0 TWh,1 TWh,"1,122 TWh",992 TWh
Bulgaria,2006,175 TWh,33.66 TWh,81.75 TWh,60.03 TWh,0 TWh,0 TWh,12 TWh,12 TWh
Canada,2006,"2,465 TWh",870.74 TWh,337.43 TWh,"1,256.41 TWh",0 TWh,7 TWh,"1,042 TWh","1,004 TWh"
Chile,2006,285 TWh,84.28 TWh,40.04 TWh,160.49 TWh,0 TWh,0 TWh,85 TWh,80 TWh
China,2006,"21,613 TWh",577.84 TWh,"16,918.38 TWh","4,116.77 TWh",0 TWh,11 TWh,"1,286 TWh","1,240 TWh"
Colombia,2006,262 TWh,67.65 TWh,44.33 TWh,149.53 TWh,0 TWh,0 TWh,124 TWh,121 TWh
Croatia,2006,89 TWh,27.18 TWh,7.38 TWh,54.47 TWh,0 TWh,0 TWh,19 TWh,19 TWh
Cyprus,2006,34 TWh,0.00 TWh,0.35 TWh,34.06 TWh,0 TWh,0 TWh,,
Czechia,2006,448 TWh,88.31 TWh,241.98 TWh,117.51 TWh,0 TWh,0 TWh,11 TWh,7 TWh
Denmark,2006,224 TWh,52.98 TWh,64.74 TWh,106.55 TWh,0 TWh,17 TWh,27 TWh,0 TWh
Ecuador,2006,107 TWh,6.03 TWh,0.06 TWh,100.84 TWh,0 TWh,0 TWh,21 TWh,20 TWh
Egypt,2006,699 TWh,351.31 TWh,9.90 TWh,337.33 TWh,0 TWh,2 TWh,38 TWh,36 TWh
Estonia,2006,63 TWh,9.40 TWh,36.39 TWh,17.51 TWh,0 TWh,0 TWh,0 TWh,0 TWh
Finland,2006,253 TWh,44.28 TWh,86.15 TWh,122.85 TWh,0 TWh,0 TWh,68 TWh,33 TWh
France,2006,"1,711 TWh",460.81 TWh,144.32 TWh,"1,106.11 TWh",0 TWh,6 TWh,187 TWh,160 TWh
Germany,2006,"3,361 TWh",920.07 TWh,983.31 TWh,"1,457.24 TWh",6 TWh,89 TWh,245 TWh,57 TWh
Greece,2006,389 TWh,30.69 TWh,97.71 TWh,260.49 TWh,0 TWh,5 TWh,22 TWh,17 TWh
Hong Kong,2006,286 TWh,27.56 TWh,79.73 TWh,178.46 TWh,0 TWh,0 TWh,,
Hungary,2006,260 TWh,133.24 TWh,35.73 TWh,91.52 TWh,0 TWh,0 TWh,5 TWh,1 TWh
Iceland,2006,,,1.19 TWh,10.26 TWh,0 TWh,0 TWh,28 TWh,21 TWh
India,2006,"4,428 TWh",358.77 TWh,"2,549.86 TWh","1,519.21 TWh",0 TWh,27 TWh,374 TWh,320 TWh
Indonesia,2006,"1,393 TWh",371.11 TWh,330.79 TWh,691.34 TWh,0 TWh,0 TWh,47 TWh,27 TWh
Iran,2006,"2,067 TWh","1,057.84 TWh",17.47 TWh,991.93 TWh,0 TWh,0 TWh,53 TWh,53 TWh
Iraq,2006,,13.78 TWh,,271.71 TWh,0 TWh,0 TWh,14 TWh,14 TWh
Ireland,2006,187 TWh,45.90 TWh,27.77 TWh,113.52 TWh,0 TWh,5 TWh,7 TWh,2 TWh
Israel,2006,246 TWh,21.93 TWh,91.29 TWh,132.77 TWh,0 TWh,0 TWh,0 TWh,0 TWh
Italy,2006,"2,043 TWh",810.59 TWh,193.91 TWh,"1,038.18 TWh",0 TWh,8 TWh,147 TWh,105 TWh
Japan,2006,"5,086 TWh",885.50 TWh,"1,312.14 TWh","2,888.42 TWh",6 TWh,6 TWh,332 TWh,253 TWh
Kazakhstan,2006,524 TWh,66.52 TWh,329.56 TWh,127.97 TWh,0 TWh,0 TWh,22 TWh,22 TWh
Kuwait,2006,321 TWh,117.89 TWh,0.03 TWh,203.21 TWh,0 TWh,0 TWh,,
Latvia,2006,37 TWh,16.63 TWh,1.01 TWh,18.93 TWh,0 TWh,0 TWh,8 TWh,8 TWh
Lithuania,2006,65 TWh,28.55 TWh,2.92 TWh,33.06 TWh,0 TWh,0 TWh,1 TWh,1 TWh
Luxembourg,2006,51 TWh,14.31 TWh,1.08 TWh,35.52 TWh,0 TWh,0 TWh,1 TWh,0 TWh
Malaysia,2006,824 TWh,388.64 TWh,84.82 TWh,350.32 TWh,0 TWh,0 TWh,20 TWh,18 TWh
Mexico,2006,"1,911 TWh",582.88 TWh,143.20 TWh,"1,184.83 TWh",0 TWh,0 TWh,109 TWh,87 TWh
Morocco,2006,161 TWh,5.58 TWh,44.89 TWh,110.87 TWh,0 TWh,1 TWh,3 TWh,3 TWh
Netherlands,2006,"1,055 TWh",398.08 TWh,89.72 TWh,567.07 TWh,0 TWh,8 TWh,25 TWh,0 TWh
New Zealand,2006,150 TWh,38.15 TWh,26.02 TWh,85.79 TWh,0 TWh,2 TWh,80 TWh,67 TWh
North Macedonia,2006,29 TWh,0.78 TWh,16.49 TWh,11.24 TWh,0 TWh,0 TWh,5 TWh,5 TWh
Norway,2006,171 TWh,43.32 TWh,7.20 TWh,120.29 TWh,0 TWh,2 TWh,343 TWh,340 TWh
Oman,2006,170 TWh,120.36 TWh,0.04 TWh,49.88 TWh,0 TWh,0 TWh,,
Pakistan,2006,588 TWh,333.19 TWh,46.21 TWh,208.94 TWh,0 TWh,0 TWh,86 TWh,86 TWh
Peru,2006,108 TWh,17.09 TWh,9.12 TWh,81.61 TWh,,0 TWh,58 TWh,56 TWh
Philippines,2006,248 TWh,29.45 TWh,58.60 TWh,160.08 TWh,0 TWh,0 TWh,57 TWh,28 TWh
Poland,2006,"1,103 TWh",143.90 TWh,667.58 TWh,291.55 TWh,0 TWh,1 TWh,14 TWh,6 TWh
Portugal,2006,249 TWh,41.18 TWh,38.41 TWh,169.28 TWh,0 TWh,8 TWh,46 TWh,31 TWh
Qatar,2006,,177.59 TWh,,56.68 TWh,0 TWh,0 TWh,,
Romania,2006,400 TWh,165.13 TWh,113.25 TWh,121.61 TWh,0 TWh,0 TWh,52 TWh,52 TWh
Russia,2006,"6,915 TWh","4,217.36 TWh","1,128.36 TWh","1,569.59 TWh",0 TWh,0 TWh,494 TWh,493 TWh
Saudi Arabia,2006,"1,900 TWh",697.88 TWh,0.23 TWh,"1,202.06 TWh",0 TWh,0 TWh,,
Singapore,2006,589 TWh,81.50 TWh,0.06 TWh,507.91 TWh,0 TWh,0 TWh,,
Slovakia,2006,157 TWh,62.54 TWh,51.20 TWh,42.98 TWh,0 TWh,0 TWh,14 TWh,13 TWh
Slovenia,2006,60 TWh,10.46 TWh,18.00 TWh,31.76 TWh,0 TWh,0 TWh,11 TWh,10 TWh
South Africa,2006,"1,289 TWh",37.45 TWh,947.53 TWh,304.01 TWh,0 TWh,0 TWh,10 TWh,8 TWh
South Korea,2006,"2,252 TWh",334.99 TWh,658.87 TWh,"1,258.55 TWh",0 TWh,1 TWh,12 TWh,10 TWh
Spain,2006,"1,492 TWh",363.17 TWh,208.27 TWh,920.49 TWh,0 TWh,66 TWh,151 TWh,74 TWh
Sri Lanka,2006,,,0.51 TWh,52.58 TWh,0 TWh,0 TWh,13 TWh,13 TWh
Sweden,2006,250 TWh,9.19 TWh,35.35 TWh,205.54 TWh,0 TWh,3 TWh,207 TWh,175 TWh
Switzerland,2006,185 TWh,31.47 TWh,1.81 TWh,151.99 TWh,0 TWh,0 TWh,92 TWh,88 TWh
Taiwan,2006,"1,115 TWh",110.70 TWh,440.81 TWh,563.49 TWh,0 TWh,1 TWh,18 TWh,12 TWh
Thailand,2006,"1,012 TWh",330.11 TWh,143.82 TWh,538.47 TWh,0 TWh,0 TWh,31 TWh,23 TWh
Trinidad and Tobago,2006,215 TWh,192.76 TWh,0.00 TWh,21.99 TWh,0 TWh,0 TWh,,
Turkey,2006,979 TWh,291.97 TWh,304.33 TWh,382.61 TWh,0 TWh,0 TWh,127 TWh,126 TWh
Turkmenistan,2006,,119.93 TWh,,58.53 TWh,0 TWh,0 TWh,0 TWh,0 TWh
USSR,2006,,,,,,,,
Ukraine,2006,"1,341 TWh",700.34 TWh,466.39 TWh,174.58 TWh,0 TWh,0 TWh,37 TWh,37 TWh
United Arab Emirates,2006,741 TWh,422.76 TWh,3.28 TWh,315.26 TWh,0 TWh,0 TWh,,
United Kingdom,2006,"2,416 TWh",942.60 TWh,480.99 TWh,992.44 TWh,0 TWh,12 TWh,57 TWh,13 TWh
United States,2006,"23,186 TWh","5,865.78 TWh","6,249.68 TWh","11,070.91 TWh",2 TWh,76 TWh,"1,249 TWh",812 TWh
Uzbekistan,2006,510 TWh,433.03 TWh,10.69 TWh,66.49 TWh,0 TWh,0 TWh,17 TWh,17 TWh
Venezuela,2006,718 TWh,349.45 TWh,2.88 TWh,365.34 TWh,0 TWh,0 TWh,232 TWh,232 TWh
Vietnam,2006,283 TWh,67.55 TWh,66.62 TWh,148.51 TWh,0 TWh,0 TWh,56 TWh,56 TWh
Algeria,2007,399 TWh,233.81 TWh,8.80 TWh,156.39 TWh,0 TWh,0 TWh,1 TWh,1 TWh
Argentina,2007,754 TWh,427.12 TWh,14.36 TWh,312.61 TWh,0 TWh,0 TWh,92 TWh,88 TWh
Australia,2007,"1,446 TWh",290.20 TWh,649.80 TWh,506.27 TWh,0 TWh,8 TWh,60 TWh,37 TWh
Austria,2007,284 TWh,84.71 TWh,45.04 TWh,154.66 TWh,0 TWh,6 TWh,128 TWh,105 TWh
Azerbaijan,2007,144 TWh,87.85 TWh,0.06 TWh,56.48 TWh,0 TWh,0 TWh,7 TWh,7 TWh
Bangladesh,2007,208 TWh,153.36 TWh,10.35 TWh,44.30 TWh,0 TWh,0 TWh,2 TWh,2 TWh
Belarus,2007,295 TWh,194.72 TWh,8.08 TWh,91.83 TWh,0 TWh,0 TWh,0 TWh,0 TWh
Belgium,2007,622 TWh,175.19 TWh,53.99 TWh,392.63 TWh,0 TWh,1 TWh,11 TWh,1 TWh
Brazil,2007,"1,559 TWh",218.02 TWh,157.87 TWh,"1,183.29 TWh",0 TWh,2 TWh,"1,225 TWh","1,058 TWh"
Bulgaria,2007,185 TWh,33.92 TWh,91.97 TWh,58.88 TWh,0 TWh,0 TWh,8 TWh,8 TWh
Canada,2007,"2,579 TWh",936.56 TWh,352.77 TWh,"1,290.12 TWh",0 TWh,9 TWh,"1,084 TWh","1,039 TWh"
Chile,2007,298 TWh,49.68 TWh,47.52 TWh,200.30 TWh,0 TWh,0 TWh,72 TWh,63 TWh
China,2007,"23,448 TWh",710.78 TWh,"18,423.91 TWh","4,313.57 TWh",0 TWh,15 TWh,"1,432 TWh","1,372 TWh"
Colombia,2007,264 TWh,71.62 TWh,39.03 TWh,153.09 TWh,0 TWh,0 TWh,129 TWh,125 TWh
Croatia,2007,95 TWh,31.23 TWh,8.01 TWh,55.77 TWh,0 TWh,0 TWh,13 TWh,13 TWh
Cyprus,2007,35 TWh,0.00 TWh,0.32 TWh,34.65 TWh,0 TWh,0 TWh,,
Czechia,2007,442 TWh,84.19 TWh,241.51 TWh,116.69 TWh,0 TWh,0 TWh,10 TWh,6 TWh
Denmark,2007,208 TWh,47.49 TWh,54.24 TWh,106.56 TWh,0 TWh,20 TWh,30 TWh,0 TWh
Ecuador,2007,108 TWh,5.47 TWh,0.03 TWh,102.50 TWh,0 TWh,0 TWh,26 TWh,26 TWh
Egypt,2007,743 TWh,369.21 TWh,9.00 TWh,364.29 TWh,0 TWh,2 TWh,42 TWh,40 TWh
Estonia,2007,73 TWh,9.34 TWh,45.29 TWh,18.68 TWh,0 TWh,0 TWh,0 TWh,0 TWh
Finland,2007,246 TWh,40.96 TWh,81.35 TWh,123.90 TWh,0 TWh,1 TWh,72 TWh,40 TWh
France,2007,"1,675 TWh",447.61 TWh,149.41 TWh,"1,078.22 TWh",0 TWh,12 TWh,204 TWh,163 TWh
Germany,2007,"3,214 TWh",886.36 TWh,"1,008.29 TWh","1,319.46 TWh",9 TWh,115 TWh,298 TWh,60 TWh
Greece,2007,405 TWh,38.87 TWh,103.02 TWh,263.44 TWh,0 TWh,5 TWh,14 TWh,7 TWh
Hong Kong,2007,304 TWh,25.74 TWh,87.00 TWh,191.27 TWh,0 TWh,0 TWh,,
Hungary,2007,252 TWh,124.50 TWh,36.33 TWh,91.20 TWh,0 TWh,0 TWh,6 TWh,1 TWh
Iceland,2007,12 TWh,0.00 TWh,1.28 TWh,10.29 TWh,0 TWh,0 TWh,33 TWh,24 TWh
India,2007,"4,801 TWh",388.10 TWh,"2,790.27 TWh","1,622.90 TWh",0 TWh,33 TWh,413 TWh,347 TWh
Indonesia,2007,"1,493 TWh",346.42 TWh,417.33 TWh,729.23 TWh,0 TWh,0 TWh,52 TWh,32 TWh
Iran,2007,"2,203 TWh","1,185.52 TWh",18.22 TWh,999.07 TWh,0 TWh,0 TWh,51 TWh,51 TWh
Iraq,2007,,45.43 TWh,,243.84 TWh,0 TWh,0 TWh,13 TWh,13 TWh
Ireland,2007,189 TWh,49.83 TWh,27.12 TWh,112.17 TWh,0 TWh,6 TWh,8 TWh,2 TWh
Israel,2007,255 TWh,26.24 TWh,93.36 TWh,135.56 TWh,0 TWh,0 TWh,0 TWh,0 TWh
Italy,2007,"2,010 TWh",814.56 TWh,189.85 TWh,"1,005.71 TWh",0 TWh,11 TWh,138 TWh,93 TWh
Japan,2007,"5,130 TWh",953.90 TWh,"1,377.40 TWh","2,798.97 TWh",7 TWh,8 TWh,294 TWh,211 TWh
Kazakhstan,2007,582 TWh,81.17 TWh,362.14 TWh,138.73 TWh,0 TWh,0 TWh,23 TWh,23 TWh
Kuwait,2007,312 TWh,106.97 TWh,0.00 TWh,204.99 TWh,0 TWh,0 TWh,,
Latvia,2007,38 TWh,16.09 TWh,1.25 TWh,20.56 TWh,0 TWh,0 TWh,8 TWh,8 TWh
Lithuania,2007,69 TWh,33.64 TWh,2.90 TWh,32.61 TWh,0 TWh,0 TWh,2 TWh,1 TWh
Luxembourg,2007,49 TWh,13.36 TWh,0.91 TWh,34.58 TWh,0 TWh,0 TWh,1 TWh,0 TWh
Malaysia,2007,880 TWh,404.01 TWh,102.82 TWh,373.59 TWh,0 TWh,0 TWh,20 TWh,17 TWh
Mexico,2007,"1,938 TWh",570.41 TWh,131.58 TWh,"1,236.41 TWh",0 TWh,1 TWh,102 TWh,77 TWh
Morocco,2007,160 TWh,6.30 TWh,37.60 TWh,116.00 TWh,0 TWh,1 TWh,3 TWh,3 TWh
Netherlands,2007,"1,069 TWh",388.06 TWh,97.78 TWh,583.52 TWh,0 TWh,10 TWh,27 TWh,0 TWh
New Zealand,2007,148 TWh,42.15 TWh,19.72 TWh,86.19 TWh,0 TWh,3 TWh,81 TWh,67 TWh
North Macedonia,2007,30 TWh,0.99 TWh,16.92 TWh,12.21 TWh,0 TWh,0 TWh,3 TWh,3 TWh
Norway,2007,169 TWh,41.76 TWh,7.92 TWh,119.56 TWh,0 TWh,3 TWh,382 TWh,378 TWh
Oman,2007,173 TWh,121.62 TWh,0.01 TWh,50.93 TWh,0 TWh,0 TWh,,
Pakistan,2007,629 TWh,338.00 TWh,63.23 TWh,227.32 TWh,0 TWh,0 TWh,90 TWh,90 TWh
Peru,2007,123 TWh,25.75 TWh,12.04 TWh,84.95 TWh,,0 TWh,58 TWh,55 TWh
Philippines,2007,264 TWh,35.30 TWh,62.70 TWh,165.96 TWh,0 TWh,0 TWh,53 TWh,24 TWh
Poland,2007,"1,096 TWh",143.94 TWh,650.67 TWh,301.80 TWh,0 TWh,1 TWh,17 TWh,7 TWh
Portugal,2007,249 TWh,43.89 TWh,33.44 TWh,171.78 TWh,0 TWh,11 TWh,48 TWh,28 TWh
Qatar,2007,,192.59 TWh,,62.76 TWh,0 TWh,0 TWh,,
Romania,2007,385 TWh,148.42 TWh,114.21 TWh,121.90 TWh,0 TWh,0 TWh,46 TWh,45 TWh
Russia,2007,"6,942 TWh","4,288.17 TWh","1,092.24 TWh","1,561.67 TWh",0 TWh,0 TWh,502 TWh,501 TWh
Saudi Arabia,2007,"1,944 TWh",706.99 TWh,0.65 TWh,"1,236.42 TWh",0 TWh,0 TWh,,
Singapore,2007,634 TWh,81.50 TWh,0.09 TWh,552.24 TWh,0 TWh,0 TWh,,
Slovakia,2007,150 TWh,59.19 TWh,45.88 TWh,45.14 TWh,0 TWh,0 TWh,15 TWh,13 TWh
Slovenia,2007,60 TWh,10.63 TWh,18.30 TWh,31.36 TWh,0 TWh,0 TWh,10 TWh,9 TWh
South Africa,2007,"1,321 TWh",37.91 TWh,972.98 TWh,310.25 TWh,0 TWh,0 TWh,10 TWh,8 TWh
South Korea,2007,"2,349 TWh",362.82 TWh,693.76 TWh,"1,292.23 TWh",0 TWh,1 TWh,14 TWh,10 TWh
Spain,2007,"1,530 TWh",369.57 TWh,233.03 TWh,927.30 TWh,1 TWh,78 TWh,167 TWh,77 TWh
Sri Lanka,2007,56 TWh,0.00 TWh,0.50 TWh,55.73 TWh,0 TWh,0 TWh,11 TWh,11 TWh
Sweden,2007,243 TWh,9.48 TWh,32.94 TWh,200.62 TWh,0 TWh,4 TWh,225 TWh,187 TWh
Switzerland,2007,170 TWh,30.64 TWh,2.03 TWh,137.11 TWh,0 TWh,0 TWh,104 TWh,100 TWh
Taiwan,2007,"1,164 TWh",117.45 TWh,461.68 TWh,584.52 TWh,0 TWh,1 TWh,21 TWh,12 TWh
Thailand,2007,"1,047 TWh",351.72 TWh,161.63 TWh,533.91 TWh,0 TWh,0 TWh,32 TWh,23 TWh
Trinidad and Tobago,2007,221 TWh,196.45 TWh,0.00 TWh,25.02 TWh,0 TWh,0 TWh,,
Turkey,2007,"1,071 TWh",338.91 TWh,342.67 TWh,389.54 TWh,0 TWh,1 TWh,103 TWh,101 TWh
Turkmenistan,2007,,111.65 TWh,,61.51 TWh,0 TWh,0 TWh,0 TWh,0 TWh
USSR,2007,,,,,,,,
Ukraine,2007,"1,337 TWh",660.59 TWh,496.10 TWh,180.38 TWh,0 TWh,0 TWh,30 TWh,29 TWh
United Arab Emirates,2007,818 TWh,479.38 TWh,1.58 TWh,337.40 TWh,0 TWh,0 TWh,,
United Kingdom,2007,"2,371 TWh",953.01 TWh,452.89 TWh,964.61 TWh,0 TWh,15 TWh,63 TWh,14 TWh
United States,2007,"23,577 TWh","6,241.38 TWh","6,333.85 TWh","11,001.75 TWh",3 TWh,98 TWh,"1,184 TWh",687 TWh
Uzbekistan,2007,546 TWh,468.35 TWh,9.21 TWh,68.48 TWh,0 TWh,0 TWh,18 TWh,18 TWh
Venezuela,2007,768 TWh,372.67 TWh,1.61 TWh,393.73 TWh,0 TWh,0 TWh,235 TWh,235 TWh
Vietnam,2007,307 TWh,68.32 TWh,72.92 TWh,165.34 TWh,0 TWh,0 TWh,64 TWh,63 TWh
Algeria,2008,423 TWh,244.04 TWh,8.80 TWh,169.92 TWh,0 TWh,0 TWh,1 TWh,1 TWh
Argentina,2008,766 TWh,431.89 TWh,17.52 TWh,316.20 TWh,0 TWh,0 TWh,92 TWh,88 TWh
Australia,2008,"1,475 TWh",285.35 TWh,677.29 TWh,512.72 TWh,0 TWh,10 TWh,56 TWh,33 TWh
Austria,2008,288 TWh,90.69 TWh,44.52 TWh,153.21 TWh,0 TWh,6 TWh,132 TWh,108 TWh
Azerbaijan,2008,146 TWh,100.51 TWh,0.05 TWh,45.57 TWh,0 TWh,0 TWh,6 TWh,6 TWh
Bangladesh,2008,220 TWh,163.76 TWh,10.90 TWh,44.91 TWh,0 TWh,0 TWh,3 TWh,3 TWh
Belarus,2008,298 TWh,199.41 TWh,7.53 TWh,91.41 TWh,0 TWh,0 TWh,0 TWh,0 TWh
Belgium,2008,639 TWh,174.01 TWh,53.32 TWh,411.84 TWh,0 TWh,2 TWh,14 TWh,1 TWh
Brazil,2008,"1,649 TWh",256.61 TWh,160.13 TWh,"1,231.77 TWh",0 TWh,3 TWh,"1,253 TWh","1,038 TWh"
Bulgaria,2008,179 TWh,33.92 TWh,87.66 TWh,57.87 TWh,0 TWh,0 TWh,8 TWh,8 TWh
Canada,2008,"2,506 TWh",925.44 TWh,335.23 TWh,"1,245.21 TWh",0 TWh,11 TWh,"1,106 TWh","1,061 TWh"
Chile,2008,290 TWh,27.65 TWh,50.82 TWh,211.09 TWh,0 TWh,0 TWh,80 TWh,68 TWh
China,2008,"23,943 TWh",819.33 TWh,"18,715.92 TWh","4,408.09 TWh",0 TWh,37 TWh,"1,891 TWh","1,790 TWh"
Colombia,2008,275 TWh,72.75 TWh,51.64 TWh,150.90 TWh,0 TWh,0 TWh,133 TWh,130 TWh
Croatia,2008,91 TWh,30.27 TWh,8.25 TWh,52.88 TWh,0 TWh,0 TWh,16 TWh,16 TWh
Cyprus,2008,,,0.26 TWh,35.38 TWh,0 TWh,0 TWh,,
Czechia,2008,430 TWh,83.43 TWh,229.05 TWh,117.23 TWh,0 TWh,1 TWh,12 TWh,6 TWh
Denmark,2008,197 TWh,47.72 TWh,47.66 TWh,101.60 TWh,0 TWh,19 TWh,30 TWh,0 TWh
Ecuador,2008,111 TWh,4.99 TWh,0.29 TWh,105.60 TWh,0 TWh,0 TWh,32 TWh,32 TWh
Egypt,2008,787 TWh,393.08 TWh,8.10 TWh,385.62 TWh,0 TWh,3 TWh,45 TWh,42 TWh
Estonia,2008,67 TWh,8.96 TWh,40.48 TWh,17.79 TWh,0 TWh,0 TWh,1 TWh,0 TWh
Finland,2008,224 TWh,41.88 TWh,62.04 TWh,119.76 TWh,0 TWh,1 TWh,83 TWh,48 TWh
France,2008,"1,662 TWh",463.86 TWh,140.41 TWh,"1,057.44 TWh",0 TWh,16 TWh,235 TWh,179 TWh
Germany,2008,"3,226 TWh",895.01 TWh,931.81 TWh,"1,399.07 TWh",13 TWh,116 TWh,308 TWh,57 TWh
Greece,2008,395 TWh,45.03 TWh,96.97 TWh,252.57 TWh,0 TWh,6 TWh,17 TWh,9 TWh
Hong Kong,2008,283 TWh,29.78 TWh,79.72 TWh,173.35 TWh,0 TWh,0 TWh,0 TWh,0 TWh
Hungary,2008,245 TWh,122.82 TWh,35.29 TWh,86.56 TWh,0 TWh,1 TWh,9 TWh,1 TWh
Iceland,2008,,,1.11 TWh,9.53 TWh,0 TWh,0 TWh,46 TWh,35 TWh
India,2008,"5,125 TWh",399.88 TWh,"3,020.76 TWh","1,704.72 TWh",0 TWh,40 TWh,404 TWh,324 TWh
Indonesia,2008,"1,507 TWh",396.95 TWh,366.07 TWh,743.94 TWh,0 TWh,0 TWh,56 TWh,32 TWh
Iran,2008,"2,302 TWh","1,257.87 TWh",14.34 TWh,"1,029.71 TWh",0 TWh,1 TWh,21 TWh,21 TWh
Iraq,2008,,64.58 TWh,,273.10 TWh,0 TWh,0 TWh,8 TWh,8 TWh
Ireland,2008,186 TWh,52.21 TWh,26.54 TWh,106.85 TWh,0 TWh,7 TWh,11 TWh,3 TWh
