Country,Year,Fossil fuels,Gas,Coal,Oil,Solar,Wind,Renewables,Hydropower
Venezuela,2000,632 TWh,309.96 TWh,1.54 TWh,320.87 TWh,0 TWh,0 TWh,186 TWh,186 TWh
Vietnam,2000,171 TWh,15.44 TWh,54.54 TWh,101.15 TWh,0 TWh,0 TWh,43 TWh,43 TWh
Algeria,2001,311 TWh,197.32 TWh,6.51 TWh,106.78 TWh,0 TWh,0 TWh,0 TWh,0 TWh
Argentina,2001,554 TWh,302.35 TWh,6.16 TWh,245.35 TWh,0 TWh,0 TWh,109 TWh,107 TWh
Australia,2001,"1,264 TWh",221.69 TWh,585.69 TWh,457.09 TWh,0 TWh,1 TWh,51 TWh,47 TWh
Austria,2001,280 TWh,82.88 TWh,43.88 TWh,153.69 TWh,0 TWh,1 TWh,125 TWh,119 TWh
Azerbaijan,2001,123 TWh,75.78 TWh,0.03 TWh,47.59 TWh,0 TWh,0 TWh,4 TWh,4 TWh
Bangladesh,2001,153 TWh,101.43 TWh,4.07 TWh,47.17 TWh,0 TWh,0 TWh,3 TWh,3 TWh
Belarus,2001,248 TWh,151.07 TWh,8.31 TWh,88.50 TWh,0 TWh,0 TWh,0 TWh,0 TWh
Belgium,2001,603 TWh,153.38 TWh,84.47 TWh,365.04 TWh,0 TWh,0 TWh,3 TWh,1 TWh
Brazil,2001,"1,371 TWh",122.86 TWh,148.79 TWh,"1,099.67 TWh",0 TWh,0 TWh,886 TWh,787 TWh
Bulgaria,2001,165 TWh,28.64 TWh,83.43 TWh,52.53 TWh,0 TWh,0 TWh,5 TWh,5 TWh
Canada,2001,"2,350 TWh",840.42 TWh,369.12 TWh,"1,140.46 TWh",0 TWh,1 TWh,"1,007 TWh",974 TWh
Chile,2001,244 TWh,79.50 TWh,29.31 TWh,135.44 TWh,0 TWh,0 TWh,69 TWh,64 TWh
China,2001,"11,595 TWh",276.46 TWh,"8,635.75 TWh","2,683.25 TWh",0 TWh,2 TWh,825 TWh,815 TWh
Colombia,2001,222 TWh,59.39 TWh,30.96 TWh,132.00 TWh,0 TWh,0 TWh,95 TWh,93 TWh
Croatia,2001,80 TWh,26.93 TWh,5.59 TWh,47.91 TWh,0 TWh,0 TWh,21 TWh,21 TWh
Cyprus,2001,,,0.62 TWh,29.99 TWh,0 TWh,0 TWh,,
Czechia,2001,435 TWh,93.41 TWh,242.13 TWh,99.92 TWh,0 TWh,0 TWh,8 TWh,6 TWh
Denmark,2001,220 TWh,53.31 TWh,48.82 TWh,117.53 TWh,0 TWh,13 TWh,18 TWh,0 TWh
Ecuador,2001,85 TWh,3.33 TWh,0.02 TWh,81.36 TWh,0 TWh,0 TWh,21 TWh,21 TWh
Egypt,2001,550 TWh,235.81 TWh,8.89 TWh,305.73 TWh,0 TWh,1 TWh,43 TWh,42 TWh
Estonia,2001,58 TWh,8.26 TWh,34.07 TWh,15.42 TWh,0 TWh,0 TWh,0 TWh,0 TWh
Finland,2001,237 TWh,42.76 TWh,70.49 TWh,124.04 TWh,0 TWh,0 TWh,65 TWh,39 TWh
France,2001,"1,725 TWh",436.68 TWh,144.19 TWh,"1,144.57 TWh",0 TWh,0 TWh,233 TWh,218 TWh
Germany,2001,"3,460 TWh",874.48 TWh,994.94 TWh,"1,590.96 TWh",0 TWh,31 TWh,119 TWh,68 TWh
Greece,2001,367 TWh,19.34 TWh,108.48 TWh,239.57 TWh,0 TWh,2 TWh,9 TWh,6 TWh
Hong Kong,2001,249 TWh,28.40 TWh,79.69 TWh,141.34 TWh,0 TWh,0 TWh,,
Hungary,2001,247 TWh,124.56 TWh,42.75 TWh,79.73 TWh,0 TWh,0 TWh,1 TWh,1 TWh
Iceland,2001,,,1.19 TWh,9.01 TWh,0 TWh,0 TWh,23 TWh,19 TWh
India,2001,"3,466 TWh",254.28 TWh,"1,926.95 TWh","1,285.02 TWh",0 TWh,6 TWh,224 TWh,212 TWh
